"continent","start_point","random","end_point","diversity"
"Asia",2021.4,2,2022.4,1.38824097009858
"Africa",2021.4,2,2022.4,1.18865553807116
"Europe",2021.4,2,2022.4,1.32590433001391
"North America",2021.4,2,2022.4,1.62989082253777
"Asia",2021.5,2,2022.5,1.37870275172877
"Africa",2021.5,2,2022.5,1.20372060879886
"Europe",2021.5,2,2022.5,1.349462966368
"North America",2021.5,2,2022.5,1.60808282155072
"Asia",2021.6,2,2022.6,1.51416943848017
"Africa",2021.6,2,2022.6,1.12565203110288
"Europe",2021.6,2,2022.6,1.36894894420551
"North America",2021.6,2,2022.6,1.54406080247415
"Asia",2021.7,2,2022.7,1.72964065021129
"Africa",2021.7,2,2022.7,1.16223452037653
"Europe",2021.7,2,2022.7,1.37131481857692
"North America",2021.7,2,2022.7,1.50024659505742
"Asia",2021.8,2,2022.8,1.73035985936802
"Africa",2021.8,2,2022.8,1.17610478159018
"Europe",2021.8,2,2022.8,1.37653443177284
"North America",2021.8,2,2022.8,1.49887896095973
"Asia",2021.9,2,2022.9,1.44782185130755
"Africa",2021.9,2,2022.9,1.16845793050114
"Europe",2021.9,2,2022.9,1.4144708676809
"North America",2021.9,2,2022.9,1.49349891556521
"Asia",2022,2,2023,1.29840164231274
"Africa",2022,2,2023,1.20630227101827
"Europe",2022,2,2023,1.26570307991229
"North America",2022,2,2023,1.52287694871882
"Asia",2022.1,2,2023.1,1.38345509754181
"Africa",2022.1,2,2023.1,1.41252877723403
"Europe",2022.1,2,2023.1,1.25449719668484
"North America",2022.1,2,2023.1,1.54202418286598
"Asia",2022.2,2,2023.2,1.32352948522559
"Africa",2022.2,2,2023.2,1.28370375205407
"Europe",2022.2,2,2023.2,1.31092381603317
"North America",2022.2,2,2023.2,1.33796168008653
"Asia",2022.3,2,2023.3,1.31610723489122
"Africa",2022.3,2,2023.3,1.40840038788948
"Europe",2022.3,2,2023.3,1.40536146930525
"North America",2022.3,2,2023.3,1.38929858771736
"Asia",2022.4,2,2023.4,1.25892807176791
"Africa",2022.4,2,2023.4,1.41409952515548
"Europe",2022.4,2,2023.4,1.46557499556303
"North America",2022.4,2,2023.4,1.28261146633416
"Asia",2022.5,2,2023.5,1.5271325840169
"Africa",2022.5,2,2023.5,1.23109663212675
"Europe",2022.5,2,2023.5,1.27692131597016
"North America",2022.5,2,2023.5,1.48658710862629
"Asia",2022.6,2,2023.6,1.48520564050769
"Africa",2022.6,2,2023.6,1.23071987001039
"Europe",2022.6,2,2023.6,1.30672561011585
