# BEAST v10.5.0
# Generated Mon Jan 26 09:57:38 GMT 2026 [seed=1769421457911]
# -beagle_instances 2 2344b_global_ns_SRD06_HMC.xml
state	joint	prior	likelihood	rootHeight	age(root)	treeLength	tmrca(H5N1_2020_R1_Europe)	tmrca(H5N1_2021_R1_Europe)	tmrca(H5N1_2021_R3_Europe)	tmrca(H5N1_2021_R8_Europe)	tmrca(H5N1_2022_R10_NAmerica)	tmrca(H5N1_2022_R12_Europe)	tmrca(H5N1_2022_R32_Asia)	tmrca(H5N1_2022_R6_NAmerica)	tmrca(H5N1_2022_R7_NAmerica)	tmrca(H5N5_2021_R5_Europe)	tmrca(H5N8_2019_R7_Africa)	age(H5N1_2020_R1_Europe)	age(H5N1_2021_R1_Europe)	age(H5N1_2021_R3_Europe)	age(H5N1_2021_R8_Europe)	age(H5N1_2022_R10_NAmerica)	age(H5N1_2022_R12_Europe)	age(H5N1_2022_R32_Asia)	age(H5N1_2022_R6_NAmerica)	age(H5N1_2022_R7_NAmerica)	age(H5N5_2021_R5_Europe)	age(H5N8_2019_R7_Africa)	constant.popSize	CP1+2.kappa	CP3.kappa	frequencies1	frequencies2	frequencies3	frequencies4	CP1+2.alpha	CP3.alpha	CP1+2.nu	CP3.nu	CP1+2.mu	CP3.mu	branchRatesHMC.rate	branchRatesHMC.scale	meanRate	coefficientOfVariation	covariance	treeLikelihood	branchRates	coalescent
100000	-18055.63293159253	-2393.819763617543	-15661.813167974986	36.8687067937626	1987.3471402007729	1003.004509580656	8.925391492903987	4.911231563625448	8.925391492903987	4.911231563625448	3.0171993415892717	14.85121446075427	23.100965468025485	3.0171993415892717	4.3615874845822065	4.65759145975653	6.465513345394656	2015.2904555016314	2019.30461543091	2015.2904555016314	2019.30461543091	2021.1986476529462	2009.364632533781	2001.11488152651	2021.1986476529462	2019.8542595099532	2019.558255534779	2017.7503336491409	82.59786186510958	5.658253509608878	7.672800871117033	0.3873919005491267	0.19122809606317553	0.1966826752975221	0.2246973280901755	0.43202006594044057	0.7976386971296804	0.5012272725475754	0.4987727274524247	0.7518409088213631	1.496318182357274	0.012400554380290921	12.975111524368359	0.0029141241264269567	0.355389480908997	-0.001746263405272475	-15661.813167974986	0.0	-3371.9333068979186
110000	-17489.589313729855	-2343.9641590589285	-15145.625154670928	39.65115334303991	1984.5646936514956	983.6017170483952	9.446475110592008	5.260310295165708	9.446475110592008	3.9443883158597073	3.1714091978144396	5.6179623347237815	21.941322781975703	3.151460458353616	4.017737406682017	4.601459410614256	7.0381448066769545	2014.7693718839434	2018.9555366993698	2014.7693718839434	2020.2714586786758	2021.044437796721	2018.5978846598116	2002.2745242125598	2021.064386536182	2020.1981095878534	2019.6143875839211	2017.1777021878586	81.47206999878148	5.7522686702653205	7.501974954258954	0.3817765634890883	0.20223066533649128	0.20068979693762373	0.2153029742367965	0.39752485401298115	0.9014089986685876	0.5098365428948222	0.49016345710517745	0.7647548143422332	1.4704903713155324	0.011807556873148184	13.755337374437321	0.002647784058382807	0.3620779136264623	0.04410942527702982	-15145.625154670928	0.0	-3330.8775113910265
120000	-17091.293915872608	-2270.3925547781264	-14820.90136109448	46.42742191365795	1977.7884250808775	988.4145959543265	9.922345938450734	4.599258161459162	9.922345938450734	4.007516628735472	3.250528726855045	2.920751261823767	21.045532482991877	3.07003046624292	3.934224871183958	4.967474092042733	7.0923844676909615	2014.2935010560848	2019.6165888330763	2014.2935010560848	2020.2083303658	2020.9653182676805	2021.2950957327116	2003.1703145115437	2021.1458165282925	2020.2816221233516	2019.2483729024927	2017.1234625268446	69.51258957487686	6.134927709057558	7.854338464628497	0.38661163168598445	0.19014179794120697	0.2091296062266228	0.21411696414618553	0.44351061522963525	0.8013519852885999	0.5106379206187169	0.4893620793812827	0.7659568809280755	1.468086238143848	0.013033091589953185	13.67794630343537	0.002825039049551631	0.31773584497176915	0.03567604345626433	-14820.90136109448	0.0	-3304.4275920827586
130000	-16978.992347273794	-2262.2483674484834	-14716.74397982531	49.110654745954534	1975.105192248581	989.0797257852231	9.611911007213676	4.0848784783593866	9.611911007213676	4.0848784783593866	3.4109466064857616	2.9074527665617893	14.403129152474618	3.3754186194840674	3.6587355065203573	4.35150025157301	6.755094320107896	2014.6039359873218	2020.1309685161762	2014.6039359873218	2020.1309685161762	2020.8049003880496	2021.3083942279736	2009.812717842061	2020.8404283750515	2020.5571114880152	2019.8643467429624	2017.4607526744276	67.38887127424731	5.941960197682254	7.850160763224533	0.3881542503303995	0.19379127148637137	0.20135429883362047	0.2167001793496084	0.4280347295410679	0.8133503892953468	0.4867422657077154	0.5132577342922845	0.7301133985615731	1.5397732028768534	0.013031078275463591	13.94042318283673	0.0027540039363667165	0.31450744035662054	-9.823490446056223E-4	-14716.74397982531	0.0	-3274.266134486424
140000	-17004.16123550538	-2279.1257334036295	-14725.035502101751	49.126852841990406	1975.088994152545	971.7814455150899	9.399788246912596	3.695058811432906	9.399788246912596	3.695058811432906	3.4475319391449295	2.740608405973658	8.768132195832393	3.3754186194840674	3.1838136149588876	4.4382765153589085	7.158637816814283	2014.816058747623	2020.5207881831025	2014.816058747623	2020.5207881831025	2020.7683150553905	2021.4752385885618	2015.4477147987031	2020.8404283750515	2021.0320333795767	2019.7775704791766	2017.0572091777212	68.89009224017344	6.921478869964552	8.113535587136203	0.3817702069466596	0.18631154909171	0.2020488496875008	0.22986939427412945	0.47724360446564473	1.0313441994250634	0.48592616907003583	0.5140738309299642	0.7288892536050537	1.5422214927898925	0.014980403918011889	16.282636081663185	0.002842846253620116	0.3256845367556218	0.052790283300212036	-14725.035502101751	0.0	-3258.591181979688
150000	-16940.964406085335	-2280.7758447315978	-14660.188561353738	51.43181133653286	1972.7840356580027	979.8457984686255	9.147401102220886	4.431901696155253	9.147401102220886	4.431901696155253	3.2124784456557336	2.681865597142819	6.449864031594499	3.414605818443717	3.220314271451613	4.352925032128637	7.328365809402163	2015.0684458923147	2019.78394529838	2015.0684458923147	2019.78394529838	2021.0033685488797	2021.5339813973926	2017.765982962941	2020.8012411760917	2020.995532723084	2019.8629219624067	2016.8874811851333	65.79515665722326	7.150649461979811	8.494844888248753	0.36410458564882314	0.19618433976373023	0.21196580623417588	0.22774526835327055	0.48499180792931346	0.8800746739710167	0.5255122226187716	0.4744877773812284	0.7882683339281574	1.4234633321436851	0.016238155599018225	16.861268915136094	0.002895035573293073	0.3268098439990788	0.014249325060106472	-14660.188561353738	0.0	-3244.262183151738
160000	-16796.28642058879	-2172.4276770061306	-14623.85874358266	53.92705670804593	1970.2887902864895	953.8847733433649	8.883491197075367	3.506944869446652	8.883491197075367	3.506944869446652	3.527507615267444	2.3450804167990222	5.18019006921441	3.0178871495721835	3.4573003137218445	4.419684960801414	6.767278508565305	2015.3323557974602	2020.7089021250888	2015.3323557974602	2020.7089021250888	2020.688339379268	2021.8707665777365	2019.035656925321	2021.1979598449632	2020.7585466808137	2019.7961620337342	2017.44856848597	63.136818270162486	5.806709832202622	7.9218142500461335	0.36218151494297846	0.20400562730874985	0.20015069564891144	0.23366216209936017	0.43486854163260996	0.9449709215488192	0.5055148070620308	0.49448519293796916	0.7582722105930462	1.4834555788139074	0.013259005772751723	12.004816165115228	0.002993305521145623	0.27863557720609206	0.028076884936615483	-14623.85874358266	0.0	-3212.7411989033617
170000	-16799.218818114074	-2165.244665583874	-14633.974152530198	55.715946217794716	1968.4999007767408	948.9039559840821	8.50460063856674	4.802490132314249	8.50460063856674	4.802490132314249	2.920413532223961	2.7767368241379753	4.268677339079649	2.920413532223961	2.8027058818581057	5.218103385424999	6.777689452684605	2015.7112463559688	2019.4133568622212	2015.7112463559688	2019.4133568622212	2021.2954334623114	2021.4391101703975	2019.9471696554558	2021.2954334623114	2021.4131411126773	2018.9977436091106	2017.4381575418508	53.91588179516906	6.098213357958476	8.04471871168718	0.36211306564630835	0.19783644262137018	0.20331070934668086	0.23673978238564056	0.41000598234823926	0.9113174916297958	0.5239530445296215	0.4760469554703784	0.7859295667944324	1.4281408664111352	0.013796420211366537	13.951830875286294	0.002838911794813078	0.30283708001951753	0.0072540449643816885	-14633.974152530198	0.0	-3182.0730217423725
180000	-16741.381418543788	-2099.2218508796686	-14642.15956766412	55.59800273915007	1968.6178442553853	927.9367470482397	7.753439560661287	3.5118638883367854	7.753439560661287	3.5118638883367854	2.924354736307143	2.4296585102344825	3.6754151659624865	3.062086971696333	2.946177832617052	4.369833904015256	6.551243074072485	2016.4624074338742	2020.7039831061986	2016.4624074338742	2020.7039831061986	2021.2914922582283	2021.786188484301	2020.540431828573	2021.1537600228392	2021.2696691619185	2019.8460130905203	2017.664603920463	52.47760299285721	6.324734770478915	7.147573715368987	0.36168316176724996	0.20024601955051674	0.20331070934668086	0.23476010933555244	0.4268498618402284	1.2478741204561872	0.5029143590925416	0.4970856409074581	0.7543715386388123	1.4912569227223744	0.013849754255569346	12.75701062802897	0.0029961525335052454	0.28744581664464103	0.03871368386090886	-14642.15956766412	0.0	-3151.5474888270273
190000	-16783.791891733195	-2158.765604358357	-14625.02628737484	58.64645137474022	1965.5693956197952	926.1005637001566	6.5842666709922035	4.707151039431546	6.5842666709922035	4.247756499791093	3.094996652479708	2.531135937602331	2.5728000607714567	3.094996652479708	3.1749245982526455	4.571172610951415	6.345534218087904	2017.6315803235432	2019.508695955104	2017.6315803235432	2019.9680904947443	2021.1208503420557	2021.684711056933	2021.643046933764	2021.1208503420557	2021.040922396283	2019.644674383584	2017.8703127764475	57.06732004907289	6.355910014815707	8.18125530995565	0.36673198312537947	0.19518513555739936	0.21251544883212475	0.2255674324850964	0.4627924483933419	0.9608834168104534	0.4969565382329306	0.5030434617670695	0.7454348073493959	1.5091303853012086	0.01357239589387693	12.330405431962514	0.003074149046409147	0.29963815254749293	0.04212560573722774	-14625.02628737484	0.0	-3162.0189036138545
