# BEAST v10.5.0
# Generated Thu Jan 29 15:27:36 GMT 2026 [seed=1769700455800]
# 2344b_global_n8_SRD06_HMC.xml
state	joint	prior	likelihood	rootHeight	age(root)	treeLength	tmrca(H5N8_2019_R7_Africa)	age(H5N8_2019_R7_Africa)	constant.popSize	CP1+2.kappa	CP3.kappa	frequencies1	frequencies2	frequencies3	frequencies4	CP1+2.alpha	CP3.alpha	CP1+2.nu	CP3.nu	CP1+2.mu	CP3.mu	branchRatesHMC.rate	branchRatesHMC.scale	meanRate	coefficientOfVariation	covariance	treeLikelihood	branchRates	coalescent
5090000	-6712.906886919468	-126.85979658394972	-6586.047090335518	12.087104396555286	2010.074539439061	79.97474037568719	3.1400086445197197	2019.0216351910967	5.099057285398374	6.485108354986453	7.836000378414499	0.2839235369842602	0.1825243511099833	0.27115953155560546	0.2623925803501519	0.17526754913865258	2.532047161451422	0.3210012545479476	0.6789987454520553	0.4815018818219214	2.036996236356166	0.041303118954425296	15.406497510200277	0.007784982472616331	0.34535325176233755	0.011350147412131587	-6586.047090335518	0.0	-248.29361703683657
5100000	-6693.847065393007	-117.39665723456625	-6576.450408158441	14.356590596527157	2007.8050532390891	81.55732159599482	3.39987570749637	2018.76176812812	4.515348301883735	7.103341092005948	8.449078495883013	0.3005326231767069	0.1835265661959715	0.25602831696048306	0.25991249366683933	0.18119237326076207	2.027635835534499	0.3254181764541654	0.6745818235458381	0.48812726468124806	2.023745470637514	0.023551132409040016	7.03500381972531	0.008077076414080921	0.2948103623297296	0.02478358656020558	-6576.450408158441	0.0	-238.94436856990964
5110000	-6676.16758250474	-93.21338125473713	-6582.954201250002	16.121383751147953	2006.0402600844684	83.7281041646287	3.240531968398593	2018.9211118672179	4.334667447482828	6.91825018558172	8.50327915634028	0.33105161854594317	0.17867097551778752	0.2571036901637324	0.23317371577253782	0.16191468313668403	1.7492919989679612	0.31604302702059994	0.6839569729794036	0.4740645405308999	2.051870918938211	0.026156569424962535	7.491564941721759	0.00785797641887466	0.2645748524811657	0.08038627405222745	-6582.954201250002	0.0	-236.895776423788
5120000	-6689.798720582086	-113.60889567665816	-6576.189824905428	14.998139078600643	2007.1635047570157	81.9277690484049	3.1900560235698996	2018.9715878120464	4.926263894139495	5.677243399948369	8.649410009273879	0.3077793618865579	0.18001800774686455	0.24811726244182558	0.26408536792475296	0.18460178549577752	2.3954031184098614	0.3098997213415512	0.6901002786584519	0.4648495820123268	2.0703008359753556	0.033568344856206016	10.809969958309638	0.008197147702148447	0.3684039390488987	0.05316808518136794	-6576.189824905428	0.0	-237.44876661682324
5130000	-6692.5086628508525	-126.15959888618234	-6566.34906396467	13.094739473068982	2009.0669043625473	78.0409783484818	3.156022456317448	2019.0056213792989	5.675718148036319	6.423446742566152	7.001590082272555	0.30884057262561104	0.17341065351109256	0.24957692945383653	0.2681718444094609	0.2204736306151417	2.571003012099243	0.29708514053500634	0.7029148594649964	0.4456277108025095	2.1087445783949894	0.025565414802317367	7.569891140229658	0.007991114100668086	0.3170387336420253	0.10972692426036808	-6566.34906396467	0.0	-243.0522664272949
5140000	-6709.956301644509	-112.5641959258405	-6597.392105718669	13.793686026602892	2008.3679578090134	80.26482668712299	3.2141679466936695	2018.9474758889228	4.5377596667490785	6.458821200473397	9.163179463492988	0.29020880707605334	0.2069817998509786	0.2411381854555957	0.26167120761737334	0.23189592155991393	2.8122853413377293	0.33691271010747564	0.6630872898925275	0.5053690651612135	1.9892618696775826	0.024540838940797	8.181299012177682	0.007828229281155123	0.2865390018047154	0.0802886238794515	-6597.392105718669	0.0	-244.1694344084094
5150000	-6709.843804331275	-108.60811628380995	-6601.235688047465	15.569896882165425	2006.5917469534509	82.145611972368	3.405773293689828	2018.7558705419265	4.393339344414737	7.892648431864821	7.35114733066728	0.3295617574059206	0.1824293713160215	0.24972558530786945	0.2382832859701893	0.2212860391200659	3.176875287048422	0.30804250734015143	0.6919574926598512	0.46206376101022717	2.0758724779795537	0.027160707592464802	9.448372992418681	0.006944479984531134	0.2901091667215491	0.10810452312669751	-6601.235688047465	0.0	-237.29919861833218
5160000	-6674.867169151691	-96.28760730258287	-6578.579561849108	15.995049794060044	2006.1665940415562	84.50387192432353	3.144640821901165	2019.017003013715	5.394836724202149	6.815375337834484	7.55822496290365	0.2871913769397654	0.17538056758566326	0.2702073221012131	0.267220733373359	0.24363297825864594	1.8937053506197505	0.30312389185605787	0.6968761081439443	0.4546858377840868	2.090628324431833	0.023591042057400112	7.536255331836825	0.007432372021848556	0.2646268608631543	-0.08522793946555045	-6578.579561849108	0.0	-241.98698407006935
5170000	-6709.786572303827	-120.46115563871349	-6589.325416665113	13.638180083760568	2008.5234637518558	77.59575788051073	3.1149699062732608	2019.0466739293431	4.320916243554945	6.205955799686825	8.961154161815793	0.312963578477252	0.19465174535267846	0.23850866242620974	0.2538760137438605	0.14832100468775294	2.3649418363392694	0.34074994362653765	0.6592500563734643	0.5111249154398065	1.9777501691203931	0.02997711837996135	9.667205398132118	0.007851632412247006	0.3375818091316426	0.022681011803515012	-6589.325416665113	0.0	-237.1930856406335
5180000	-6691.175808592908	-107.94681800741323	-6583.228990585494	13.833095512186661	2008.3285483234297	76.09736996372463	3.070171087828781	2019.0914727477875	4.949472975042706	7.7134788070525415	9.110153723902107	0.3113364776163671	0.18929098103816386	0.24110118602667097	0.25827135531879875	0.18160642293505144	2.0500026743530526	0.2927772529610333	0.7072227470389687	0.43916587944154994	2.121668241116906	0.030232295820057497	9.06238797241417	0.008635138669404218	0.3215118206906645	0.0799725898468704	-6583.228990585494	0.0	-234.37796602098268
