# BEAST v10.5.0
# Generated Fri Jan 23 12:23:27 GMT 2026 [seed=1769171006930]
# -overwrite 2344b_global_np_SRD06_HMC.xml
state	joint	prior	likelihood	rootHeight	age(root)	treeLength	tmrca(H5N1_2020_R1_Europe)	tmrca(H5N1_2021_R1_Europe)	tmrca(H5N1_2021_R3_Europe)	tmrca(H5N1_2021_R8_Europe)	tmrca(H5N1_2022_R10_NAmerica)	tmrca(H5N1_2022_R12_Europe)	tmrca(H5N1_2022_R32_Asia)	tmrca(H5N1_2022_R6_NAmerica)	tmrca(H5N1_2022_R7_NAmerica)	tmrca(H5N5_2021_R5_Europe)	tmrca(H5N8_2019_R7_Africa)	age(H5N1_2020_R1_Europe)	age(H5N1_2021_R1_Europe)	age(H5N1_2021_R3_Europe)	age(H5N1_2021_R8_Europe)	age(H5N1_2022_R10_NAmerica)	age(H5N1_2022_R12_Europe)	age(H5N1_2022_R32_Asia)	age(H5N1_2022_R6_NAmerica)	age(H5N1_2022_R7_NAmerica)	age(H5N5_2021_R5_Europe)	age(H5N8_2019_R7_Africa)	constant.popSize	CP1+2.kappa	CP3.kappa	frequencies1	frequencies2	frequencies3	frequencies4	CP1+2.alpha	CP3.alpha	CP1+2.nu	CP3.nu	CP1+2.mu	CP3.mu	branchRatesHMC.rate	branchRatesHMC.scale	meanRate	coefficientOfVariation	covariance	treeLikelihood	branchRates	coalescent
100000	-3024790.008380205	-3000428.241459823	-24361.76692038162	51.82385087622036	1972.391996118315	1249.3149009477918	10.621504479720773	10.621504479720773	8.996628215722248	10.621504479720773	3.6512489592136292	7.779588228565922	3.199941370199422	8.010519213697952	3.446760701708305	4.296161435039983	9.328164717130978	2013.5943425148148	2013.5943425148148	2015.2192187788132	2013.5943425148148	2020.5645980353218	2016.4362587659696	2021.015905624336	2016.2053277808375	2020.769086292827	2019.9196855594955	2014.8876822774046	101.08185172176643	8.551744566031761	13.671464591748	0.3611084945305766	0.19395060976294493	0.21237020549994892	0.23257069020652965	0.14163975864141864	1.3488922205174236	0.24404522709880003	0.7559547729012001	0.3660678406482	2.2678643187036003	0.011004466057386602	0.20898518222986326	0.0021117772929428805	2.42424837301273E-14	0.999202551834131	-24361.76692038162	0.0	-3562.3091317968156
110000	-3024505.2733299485	-3000407.071203578	-24098.202126370896	58.72720168988728	1965.4886453046481	1250.9173327195135	11.839068162611234	11.839068162611234	10.01505354979388	11.839068162611234	3.6662205838228665	3.9465061460388933	3.7980421022257254	6.741613993259344	3.393082727116536	4.351375995036059	7.604539286608109	2012.3767788319242	2012.3767788319242	2014.2007934447415	2012.3767788319242	2020.5496264107126	2020.2693408484965	2020.4178048923097	2017.4742330012762	2020.822764267419	2019.8644709994994	2016.6113077079274	98.82268862518927	7.362744988515848	13.894909563622779	0.3380628207238326	0.1994225280212292	0.22181527849346508	0.24069937276147313	0.15380054014193986	1.2266027463186921	0.22718824192151674	0.772811758078483	0.3407823628822751	2.318435274235449	0.010605416047214229	0.2036374276475146	0.0021223002681179447	1.6558515969062248E-14	0.999202551834131	-24098.202126370896	0.0	-3542.109260584951
120000	-3024285.016880299	-3000354.4384055897	-23930.57847470951	59.52023667834044	1964.6956103161951	1208.7441021567445	11.117014353785958	11.117014353785958	9.86698581421096	11.117014353785958	3.31199402097555	3.0075810667487706	2.8746751319830013	6.420616054710581	3.502757881794298	4.34952153158448	7.61624209451644	2013.0988326407496	2013.0988326407496	2014.3488611803245	2013.0988326407496	2020.9038529735599	2021.2082659277867	2021.3411718625525	2017.795230939825	2020.7130891127413	2019.866325462951	2016.5996049000191	99.49075811501568	6.368119406890591	15.401876186844179	0.35279941776345863	0.19630663807565046	0.2143988515001992	0.23649509266069169	0.14528720829598876	1.3602704751829053	0.22295843370257099	0.7770415662974289	0.3344376505538565	2.3311246988922867	0.010354942387508866	0.2022226377756861	0.0020952921722788677	1.2423669258693772E-15	0.9992025518341308	-23930.57847470951	0.0	-3489.982060683137
130000	-3024146.7416214515	-3000319.0477453303	-23827.693876121386	64.93029112958297	1959.2855558649526	1177.4290089980052	11.778525588249838	11.778525588249838	7.828251747095395	11.778525588249838	3.3925972236294095	2.6922199248465786	2.325901675146588	6.0498858445025965	3.659969187318017	4.087048339088551	7.092417322518784	2012.4373214062857	2012.4373214062857	2016.38759524744	2012.4373214062857	2020.8232497709062	2021.523627069689	2021.889945319389	2018.165961150033	2020.5558778072175	2020.1287986554469	2017.1234296720168	89.51425343450235	7.1059088198589855	13.172322723470185	0.3516391720876903	0.1968999370709826	0.2244885317786772	0.2269723590626499	0.14412680023867613	1.2413841635894975	0.20402920130727414	0.7959707986927254	0.3060438019609112	2.387912396078176	0.010243178976587934	0.20056193513001325	0.002099850327307503	1.0123972598584539E-14	0.999202551834131	-23827.693876121386	0.0	-3455.545789929298
140000	-3024151.616795995	-3000315.8490965874	-23835.76769940753	62.5500912444293	1961.6657557501062	1172.6542854136073	10.299099165664652	10.299099165664652	7.480140751065147	10.299099165664652	3.371310742169098	2.4066423650476017	2.5052598690699	6.325318681198162	3.912777655550151	4.2512564599361164	7.3067962895153755	2013.9167478288707	2013.9167478288707	2016.7357062434703	2013.9167478288707	2020.8445362523664	2021.8092046294878	2021.7105871254655	2017.8905283133372	2020.3030693389853	2019.9645905345994	2016.90905070502	89.28571671901784	8.192679287226794	15.45246357361044	0.3559592413940327	0.19594088053825556	0.2177938548718202	0.23030602319589163	0.16291229744969807	1.209695233640257	0.20831368742849207	0.7916863125715073	0.3124705311427381	2.375058937714522	0.008802029037129995	0.1768991937789017	0.0021731915743445893	2.7150892929554342E-14	0.9992025518341309	-23835.76769940753	0.0	-3453.6466843497988
150000	-3024136.2645520163	-3000306.166810075	-23830.097741941634	61.46937653965731	1962.7464704548781	1197.3280443942094	12.032606408712672	12.032606408712672	8.26809638685644	12.032606408712672	3.0264870587687516	2.5278541431349484	2.5052598690699	6.786091447059356	3.2718977476171758	4.233071982775861	7.3067962895153755	2012.183240585823	2012.183240585823	2015.947750607679	2012.183240585823	2021.1893599357668	2021.6879928514006	2021.7105871254655	2017.4297555474761	2020.9439492469182	2019.9827750117597	2016.90905070502	92.12034987738035	8.135389670317654	14.596773942987376	0.35544048900515884	0.19475579638021703	0.2127560275321748	0.23704768708244936	0.1539667813907852	1.184340600584203	0.21952051712870288	0.7804794828712964	0.3292807756930543	2.3414384486138893	0.007880815045532017	0.1643861699849312	0.0021473483738978973	1.192045205335996E-14	0.9992025518341309	-23830.097741941634	0.0	-3445.0942002764195
160000	-3024133.060477687	-3000307.889240391	-23825.17123729593	67.65995857206268	1956.555888422473	1207.164998399986	10.19707725419909	10.19707725419909	7.519294865272586	10.19707725419909	3.0577482178374336	2.3430611809255493	2.5086118595132603	6.914544750588438	3.320015272569836	3.5500113875033783	7.436703905093178	2014.0187697403364	2014.0187697403364	2016.696552129263	2014.0187697403364	2021.1580987766981	2021.8727858136099	2021.7072351350223	2017.301302243947	2020.8958317219656	2020.665835607032	2016.7791430894422	87.0704426956827	8.621535897745417	14.401546256761499	0.3463733624706578	0.1949690442379672	0.22274068161612084	0.2359169116752541	0.13548667222105065	1.1757824692461214	0.20233745187357766	0.7976625481264217	0.3035061778103665	2.3929876443792653	0.007948777056462018	0.161357509627233	0.0022182209182622175	1.3691040805184843E-14	0.9992025518341305	-23825.17123729593	0.0	-3446.7033950015607
170000	-3024115.845509608	-3000319.653846532	-23796.191663075806	68.25994600878386	1955.9559009857517	1231.3309499116508	10.722182953461836	10.722182953461836	8.345554300495301	10.722182953461836	3.12216834063622	2.2813962100249343	2.834314043643503	6.182000471963724	3.46443897124768	3.5500113875033783	6.936080921089804	2013.4936640410735	2013.4936640410735	2015.8702926940402	2013.4936640410735	2021.0936786538994	2021.9344507845105	2021.381532950892	2018.0338465225718	2020.7514080232877	2020.665835607032	2017.2797660734457	81.44680959249048	8.027955999395585	13.98650911136075	0.3482351235633633	0.21513742420423107	0.20480685821496497	0.2318205940174408	0.15363468426077734	1.2846668578957159	0.2254099931435451	0.7745900068564542	0.3381149897153176	2.3237700205693628	0.007278485635413719	0.15043469207732535	0.002214035774391951	3.919120195166628E-16	0.9992025518341308	-23796.191663075806	0.0	-3459.166976298371
180000	-3024095.039020851	-3000303.0442379145	-23791.99478293634	64.82413806797578	1959.3917089265597	1203.2302525984653	11.563678543794937	11.563678543794937	9.094362672059004	11.563678543794937	3.12216834063622	2.7402666285340853	2.345352766128695	6.0219123345842895	3.210830356374319	3.647101471343277	7.025140451704953	2012.6521684507404	2012.6521684507404	2015.1214843224764	2012.6521684507404	2021.0936786538994	2021.4755803660014	2021.8704942284069	2018.193934659951	2021.0050166381611	2020.568745523192	2017.1907065428304	88.04174999063471	7.327334320929647	15.567474860926108	0.3384102806437089	0.2070601097524614	0.21545048137333397	0.23907912823049585	0.16310965253320087	1.2521941531891763	0.21837914440991318	0.7816208555900859	0.32756871661486975	2.3448625667702574	0.005642492157300133	0.11798742333558304	0.0022184128498991	3.1291100091257653E-14	0.999202551834131	-23791.99478293634	0.0	-3444.76910333605
190000	-3024073.4628545535	-3000276.133251882	-23797.329602671292	61.39848125730303	1962.8173657372324	1165.1919145081793	11.087651177737953	11.087651177737953	8.088245162452482	11.087651177737953	3.12216834063622	2.416769295877794	2.408945677225983	5.788209860885771	3.186812716304177	4.236011844343969	6.846075799582276	2013.1281958167974	2013.1281958167974	2016.127601832083	2013.1281958167974	2021.0936786538994	2021.7990776986576	2021.8069013173094	2018.4276371336498	2021.0290342782314	2019.9798351501915	2017.3697711949533	84.69686982264815	7.0163514412873145	15.05451104417092	0.3618290605706745	0.19913836383366654	0.20657985402027723	0.23245272157538177	0.1317639511299465	1.3862690547903191	0.20821682772966277	0.7917831722703361	0.31232524159449415	2.375349516811008	0.0072506414779881945	0.15348224009144057	0.0021531284334393493	1.450794102819483E-14	0.9992025518341308	-23797.329602671292	0.0	-3415.999447079513
