# BEAST v10.5.0
# Generated Thu Jan 29 15:27:22 GMT 2026 [seed=1769700441805]
# 2344b_global_n5_SRD06_HMC.xml
state	joint	prior	likelihood	rootHeight	age(root)	treeLength	tmrca(H5N5_2021_R5_Europe)	age(H5N5_2021_R5_Europe)	constant.popSize	CP1+2.kappa	CP3.kappa	frequencies1	frequencies2	frequencies3	frequencies4	CP1+2.alpha	CP3.alpha	CP1+2.nu	CP3.nu	CP1+2.mu	CP3.mu	branchRatesHMC.rate	branchRatesHMC.scale	meanRate	coefficientOfVariation	covariance	treeLikelihood	branchRates	coalescent
8190000	-3965.2381277151935	-94.64494241865371	-3870.59318529654	53.78516609080328	1970.2804076796883	172.29841755491486	6.018297616656953	2018.0472761538347	15.016424658001075	7.893100310534802	5.866380888148043	0.2977164943288452	0.1860925421749998	0.25266750234216667	0.26352346115398645	0.32526386652934275	1.5890334917062188	0.24549760550973485	0.7545023944902474	0.36824640826460225	2.2635071834707423	0.005562121916669477	7.214088898926982	0.0018440272146320307	0.3599633613103648	-0.18037818747713882	-3870.59318529654	0.0	-108.3514595154028
8200000	-3965.3111068512217	-90.92333129431883	-3874.387775556903	39.14445963966672	1984.921114130825	145.3716145977641	6.1291577939137705	2017.936415976578	15.17590833190308	7.72552215128986	6.374184748912131	0.29165312620867995	0.2020096855176649	0.23535187247683798	0.2709853157968151	0.19597688639200067	1.771791697651003	0.24689911328501257	0.753100886714969	0.37034866992751886	2.259302660144907	0.004834266827573397	5.809803784808517	0.0022491658968168985	0.329912778392451	0.024982166236689602	-3874.387775556903	0.0	-110.77903421953404
8210000	-3966.577806259767	-72.04149241279885	-3894.536313846968	36.09334558474626	1987.9722281857455	132.9299094760142	4.961520524194202	2019.1040532462976	7.9393734618916145	6.490444412519448	6.060396745173993	0.31242165152694196	0.19255764901288785	0.23412234469644896	0.2608983547637191	0.242532242821134	1.4383674869011949	0.21616840735515722	0.7838315926448246	0.32425261103273584	2.351494777934474	0.004644845965442549	3.75661881689254	0.0024412661380649467	0.22723549600758702	-0.06935058579183462	-3894.536313846968	0.0	-101.30118124350201
8220000	-3961.1127745228255	-78.78022026730221	-3882.332554255523	44.24883824421327	1979.8167355262785	142.26056799032796	5.130304699632365	2018.9352690708592	12.281153195248288	6.166694628426615	8.509310992138955	0.28926796650339476	0.1903449940582465	0.2547048133190309	0.2656822261193256	0.10146704577098661	1.8966384183899307	0.278324899093549	0.7216751009064322	0.41748734864032355	2.1650253027192967	0.007683429743977132	7.768275238261929	0.0023026865203805494	0.2906544425111349	-0.025615652437584867	-3882.332554255523	0.0	-102.60789684828109
8230000	-3963.469180537073	-80.32445395532976	-3883.1447265817433	45.686970679775655	1978.378603090716	175.76047542552956	6.363883338006719	2017.701690432485	21.570333784115018	6.404776440359135	6.981194141976323	0.3115617945597153	0.1834898413535959	0.2409469716736912	0.2640013924129954	0.29622122539157125	1.789737948030016	0.2672972180361853	0.7327027819637961	0.40094582705427795	2.1981083458913884	0.005600659889279046	7.726363122926476	0.0017688093381939747	0.2263714951895654	0.1640919168799751	-3883.1447265817433	0.0	-115.31798382271283
8240000	-3950.5140588032264	-68.67675916619999	-3881.8372996370263	23.28715399672173	2000.7784197737699	87.6311845826399	4.40009268872276	2019.665481081769	7.535957575950464	12.389277022877572	7.83465697967495	0.3149831593591153	0.1967940469629792	0.21843508667859995	0.2697877069993033	0.4182661571557046	2.7425149815918117	0.29391114174496236	0.7060888582550188	0.44086671261744353	2.118266574765056	0.010314992616051153	6.991976858005159	0.003918975614098311	0.2826450991542801	0.0030768573051694476	-3881.8372996370263	0.0	-88.79379838729659
8250000	-3943.8255585444135	-64.92498753618779	-3878.9005710082256	29.706647497596865	1994.358926272895	97.98032163343336	4.503953060434086	2019.5616207100577	6.541586203674289	5.722857855566053	8.286913929546097	0.3158582521665167	0.18595664424432426	0.24191765169192656	0.2562674518972305	0.13650639454761176	2.611492653510839	0.27288457424132995	0.7271154257586512	0.4093268613619949	2.1813462772759538	0.006113801726747868	4.023061060255533	0.0034884638906252188	0.2925696801271842	0.03640902241607145	-3878.9005710082256	0.0	-90.18505910536135
8260000	-3961.1097920572956	-67.68936164702541	-3893.4204304102705	32.951150430464885	1991.1144233400269	119.78455761312756	5.3255636560766835	2018.740010114415	7.836726846545153	7.477114241496516	5.850016449385375	0.32823313056068665	0.1805064917476495	0.2369572684282833	0.2543031092633787	0.12711397544702938	1.70227631703145	0.21436288395361586	0.7856371160463655	0.3215443259304238	2.3569113481390964	0.005100092327157951	4.854924478891257	0.002641340005504215	0.2548459240181452	0.058079273417624526	-3893.4204304102705	0.0	-98.12874742721982
8270000	-3962.8716737866225	-76.3628044143763	-3886.5088693722464	37.384058055122075	1986.6815157153696	125.22699610342653	4.815055246787203	2019.2505185237046	8.047933229835486	11.382586235496259	9.260202486272656	0.2753608877869528	0.1788506272073468	0.25800093357482123	0.28778755143087725	0.036411581139096635	2.0014779987576867	0.29242177703048206	0.707578222969499	0.4386326655457231	2.122734668908497	0.00830476021719676	8.114416515953469	0.002629404608597959	0.29531150703459125	-0.01203838434182052	-3886.5088693722464	0.0	-97.25345009902534
8280000	-3961.9633003330146	-72.17147605695865	-3889.791824276056	35.78943776264382	1988.276136007848	117.46969231792096	4.866628708289197	2019.1989450622025	8.102706404546621	10.153507753050459	7.417455527872839	0.300172362027494	0.18997353537007786	0.2515759465876237	0.2582781560148026	0.029068723620026812	2.7990459140539117	0.3154205907373778	0.6845794092626024	0.47313088610606674	2.0537382277878073	0.004803767766180287	3.038177659120566	0.002736122360172225	0.2324212645520957	-0.19373483461736962	-3889.791824276056	0.0	-92.9698167419501
