key,cluster_profile,segment,Ntips_with_Rcode,AncNode,NCladetips,evoRate,evoRate_95lower,evoRate_95upper,TMRCA,relative.depth,youngestTip.time,persist.time,Lat_MRCA,Lon_MRCA,collection_regionname,host_simplifiedhost,virus_subtype,prob_collection_regionname,prob_host_simplifiedhost,prob_virus_subtype,mean_branch_velocity,weighted_branch_velocity,original_diff_coeff,weighted_diff_coeff,count_cross_species,count_to_mammal,col2,group2,Length_Between_First_Last_Sample,median_galliformes-domestic,median_other-bird,median_anseriformes-wild,median_galliformes-wild,median_environment,median_mammal,median_charadriiformes-wild,median_human,median_anseriformes-domestic,max_galliformes-domestic,max_other-bird,max_anseriformes-wild,max_galliformes-wild,max_environment,max_mammal,max_charadriiformes-wild,max_human,max_anseriformes-domestic,sum_galliformes-domestic,sum_other-bird,sum_anseriformes-wild,sum_galliformes-wild,sum_environment,sum_mammal,sum_charadriiformes-wild,sum_human,sum_anseriformes-domestic
pb2_117116111,11_7_1_1_6_1_1_1,pb2,1,545,39,0.009159325,0.001147029,0.048050946,2022.232594,0.043602451,2022.879452,0.646858087,35.55475145,132.0762359,eastern asia,other-bird,H5N1,1,1,1,NA,NA,NA,NA,NA,NA,#cc99c6,minor,0,NA,0.026873725898227,0.23480637496094656,NA,NA,NA,NA,NA,NA,NA,0.026873725898227,0.23480637496094656,NA,NA,NA,NA,NA,NA,NA,0.026873725898227,0.23480637496094656,NA,NA,NA,NA,NA,NA
pb2_1192113111,11_9_2_1_13_1_1_1,pb2,1,589,2,0.003696505,3.41937e-4,0.031003079,2020.817967,0.074757108,2023.90411,3.08614261,37.99047606,133.0853973,eastern asia,environment,H1N1,1,0.887511249,0.837816218,NA,NA,NA,NA,NA,NA,#cc3352,minor,0,NA,NA,NA,NA,3.690219597710417,NA,NA,NA,NA,NA,NA,NA,NA,3.690219597710417,NA,NA,NA,NA,NA,NA,NA,NA,3.690219597710417,NA,NA,NA,NA
pb2_1196251812,11_9_6_2_5_18_1_2,pb2,1,587,4,0.002585317,1.94132e-4,0.028519856,2019.559704,0.100450534,2020.857923,1.298219177,48.96388689,122.4586879,eastern asia,anseriformes-wild,H5N3,1,0.998694517,0.88348564,NA,NA,NA,NA,NA,NA,#cc5d33,minor,0,NA,NA,1.740670369664997,NA,NA,NA,NA,NA,NA,NA,NA,1.740670369664997,NA,NA,NA,NA,NA,NA,NA,NA,1.740670369664997,NA,NA,NA,NA,NA,NA
pb2_111211111,1_1_12_1_1_1_1_1,pb2,7,600,7,0.002215021,8.23676e-4,0.005832401,2022.833288,0.030870585,2023.293151,0.459862682,41.78434507,141.0336633,eastern asia,other-bird,H5N1,1,0.99480052,1,4957.943,3699.929,494048.2,352805.3,NA,NA,#99cca2,minor,0.348,NA,4.806800196050027,0.05555253700335783,NA,NA,0.11092572563707216,NA,NA,NA,NA,4.971183757693993,0.05555253700335783,NA,NA,0.1778410689391201,NA,NA,NA,NA,33.63047135667594,0.05555253700335783,NA,NA,0.2218514512741443,NA,NA,NA
pb2_323132512,3_2_3_1_3_25_1_2,pb2,1,613,2,0.003911289,2.34226e-4,0.031553828,2020.736604,0.075734684,2020.800546,0.063942791,33.56567374,-72.13950209,northern america,anseriformes-wild,H5N8,0.999794239,0.9968107,1,NA,NA,NA,NA,NA,NA,#D4CA5A,minor,0,NA,NA,0.18339205716118556,NA,NA,NA,NA,NA,NA,NA,NA,0.18339205716118556,NA,NA,NA,NA,NA,NA,NA,NA,0.18339205716118556,NA,NA,NA,NA,NA,NA
pb2_323116212,3_2_3_1_16_2_1_2,pb2,1,622,4,0.00182167,0.001345714,0.002297625,2020.842565,0.073287125,2021.284932,0.442366528,35.36542929,127.1762781,eastern asia,anseriformes-wild,H5N8,1,1,1,NA,NA,NA,NA,NA,NA,#D0C961,minor,0,NA,NA,0.4934789834066109,NA,NA,NA,NA,NA,NA,NA,NA,0.4934789834066109,NA,NA,NA,NA,NA,NA,NA,NA,0.4934789834066109,NA,NA,NA,NA,NA,NA
pb2_312313212,3_12_3_1_3_2_1_2,pb2,2,617,75,0.003691935,4.36349e-4,0.027401176,2020.576912,0.079312655,2021.123288,0.546375768,35.7849339,103.5590051,eastern asia,anseriformes-wild,H5N8,1,1,1,NA,NA,NA,NA,NA,NA,#afcc66,minor,0.085,NA,NA,0.3591428262886396,NA,NA,NA,NA,NA,NA,NA,NA,0.3765802751281555,NA,NA,NA,NA,NA,NA,NA,NA,0.7182856525772792,NA,NA,NA,NA,NA,NA
pb2_314313212,3_14_3_1_3_2_1_2,pb2,1,641,6,0.004678387,2.59257e-4,0.038060681,2020.940945,0.071309618,2021.2,0.25905503,35.25759375,124.0173427,eastern asia,anseriformes-wild,H5N8,1,1,1,NA,NA,NA,NA,NA,NA,#cc6693,minor,0,NA,NA,0.4246370388253382,NA,NA,NA,NA,NA,NA,NA,NA,0.4246370388253382,NA,NA,NA,NA,NA,NA,NA,NA,0.4246370388253382,NA,NA,NA,NA,NA,NA
pb2_313131412,3_1_3_1_3_14_1_2,pb2,5,642,5,0.004624356,5.77017e-4,0.025840648,2021.572918,0.057914968,2022.167123,0.594205196,30.64104473,116.4636081,eastern asia,anseriformes-wild,H5N1,1,0.95630437,0.9980002,1026.567,1168.465,50183.13,92334.85,NA,NA,#99ccc7,minor,0.263,0.2361782029622006,0.01600820851028572,0.7140961868373239,NA,NA,NA,NA,NA,NA,0.35398642214028797,0.01600820851028572,0.7442331731387313,NA,NA,NA,NA,NA,NA,0.4723564059244012,0.01600820851028572,3.4328012512589794,NA,NA,NA,NA,NA,NA
pb2_323132112,3_2_3_1_3_2_1_12,pb2,1,650,2,0.003124541,2.67072e-4,0.04342287,2021.819218,0.052432882,2022.024658,0.205439987,32.51494805,131.5657333,eastern asia,environment,H5N8,1,1,1,NA,NA,NA,NA,NA,NA,#D6CA57,minor,0,NA,NA,NA,NA,0.36735801893447473,NA,NA,NA,NA,NA,NA,NA,NA,0.36735801893447473,NA,NA,NA,NA,NA,NA,NA,NA,0.36735801893447473,NA,NA,NA,NA
