data_name,Rcode,Ntips_with_Rcode,AncNode,NCladetips,evoRate,evoRate_95lower,evoRate_95upper,TMRCA,relative.depth,youngestTip.time,persist.time,Lat_MRCA,Lon_MRCA,host_simplifiedhost,collection_regionname,prob_host_simplifiedhost,prob_collection_regionname,mean_branch_velocity,weighted_branch_velocity,original_diff_coeff,weighted_diff_coeff,count_cross_species,count_to_mammal
pa_11111111,1_1_1_1_1_1_1_1,52,53,52,NA,NA,NA,2020.76158,1.013835617,2024.120219,3.358639027,22.13121348,24.63023091,anseriformes-wild,southern africa,0.904566159,0.297744695,3135.123,3119.679,962151.2,2090686,20,1
pa_11111111A,1_1_1_1_1_1_1_1,24,25,24,NA,NA,NA,2021.36207,1.03126918,2023.109589,1.747519418,34.72942619,113.4891522,anseriformes-wild,eastern asia,0.972669703,0.993889568,1845.638,1684.325,256235.3,333166.7,11,1
pa_11211111,1_1_2_1_1_1_1_1,532,533,532,NA,NA,NA,2021.006942,1.030876815,2024.153005,3.146063114,51.60372944,9.134889108,anseriformes-wild,western europe,0.744806133,0.598933452,2576.978,1899.75,191735.6,224025.5,312,27
pa_11414114,1_1_4_1_4_1_1_4,284,285,284,NA,NA,NA,2021.835212,1.018240644,2023.791781,1.956569259,49.09344156,1.929564205,charadriiformes-wild,western europe,0.966559271,0.972891901,11811.14,2511.607,412506.4,331576.6,86,25
pa_16211111,1_6_2_1_1_1_1_1,24,25,24,NA,NA,NA,2022.198072,1.170338844,2024.106557,1.908485103,50.34248527,24.0390706,anseriformes-wild,northern europe,0.237306966,0.28019109,50619.29,2682.441,1761639,527143.1,15,NA
pa_21211111,2_1_2_1_1_1_1_1,14,15,14,NA,NA,NA,2016.819196,1.08694653,2024.202186,7.382989774,50.36856312,45.86677953,anseriformes-wild,western europe,0.48016887,0.447283635,443.0696,584.2911,114251.1,547769.8,7,NA
pa_21611411,2_1_6_1_1_4_1_1,30,31,30,NA,NA,NA,2020.630383,1.018491361,2024.161202,3.530819043,45.27179134,33.09282501,anseriformes-wild,eastern europe,0.689923342,0.933007444,4395.442,4017.794,1412575,1818440,12,NA
pa_26116111,2_6_1_1_6_1_1_1,32,33,32,NA,NA,NA,2021.265822,1.014317686,2022.915068,1.649246608,36.55588421,117.9661422,anseriformes-wild,eastern asia,0.987223642,0.99911121,6541.357,7203.661,6005442,7597599,10,NA
pa_32313212,3_2_3_1_3_2_1_2,477,478,477,NA,NA,NA,2019.584726,1.037106404,2022.161644,2.576917835,47.65107261,54.99841735,anseriformes-wild,central asia,0.480502166,0.793245195,7099.705,6330.163,1974415,2757568,210,4
pa_43112113,4_3_1_1_2_1_1_3,281,282,281,NA,NA,NA,2021.834844,1.011472335,2023.767123,1.932279185,46.43825519,-98.28472316,galliformes-domestic,northern america,0.972558605,0.999888901,8741.779,5561.44,1927160,2116487,129,28
pa_51112113,5_1_1_1_2_1_1_3,33,34,33,NA,NA,NA,2021.963373,1.041342745,2023.29863,1.335257281,41.51846578,-96.94582635,anseriformes-wild,northern america,0.623819576,0.997778025,3888.655,4114.425,736313.6,1017747,21,NA
pa_54912111,5_4_9_1_2_1_1_1,47,48,47,NA,NA,NA,2022.34253,1.105217295,2023.30137,0.958839484,41.73794868,-87.38125973,anseriformes-wild,northern america,0.713809577,0.988112432,11800.78,6609.66,1618849,1343798,20,3
pa_71521312,7_1_5_2_1_3_1_2,72,73,72,NA,NA,NA,2019.751869,1.031358577,2020.969945,1.218076489,50.00235485,19.31588949,galliformes-domestic,eastern europe,0.801688701,0.98289079,17057.41,6680.858,2092967,2330081,17,NA
pb1_11111111,1_1_1_1_1_1_1_1,57,58,57,NA,NA,NA,2020.521877,1.011195904,2024.120219,3.598341127,14.21675822,21.06388843,anseriformes-wild,southern africa,0.862015332,0.380513276,2626.16,2852.217,702267.2,2127358,20,1
pb1_11111111A,1_1_1_1_1_1_1_1,24,25,24,NA,NA,NA,2021.371388,1.01793775,2023.109589,1.738200903,34.8777822,112.9824138,anseriformes-wild,eastern asia,0.982002,0.993778469,2278.479,2247.666,320748.2,464738.7,11,1
pb1_11211111,1_1_2_1_1_1_1_1,534,535,534,NA,NA,NA,2018.581868,1.060649481,2024.144809,5.562941001,51.91769925,9.750909802,anseriformes-wild,western europe,0.164203977,0.303077436,3083.329,1834.72,209745,229564,295,27
pb1_11414114,1_1_4_1_4_1_1_4,286,287,286,NA,NA,NA,2021.87232,1.014062108,2023.791781,1.919460387,50.32662238,1.214223588,charadriiformes-wild,western europe,0.980002222,0.981557605,492.91,2285.394,208195.2,329560.9,82,22
pb1_16211111,1_6_2_1_1_1_1_1,25,26,25,NA,NA,NA,2000.974218,4.719212731,2024.106557,23.13233937,52.09402942,13.10091419,anseriformes-wild,northern europe,0.218642373,0.308299078,707.9013,246.9857,33908.82,49089.97,15,NA
pb1_21211111,2_1_2_1_1_1_1_1,15,16,15,NA,NA,NA,2021.268401,1.066458844,2024.202186,2.933785138,51.08360275,14.89220334,anseriformes-wild,western europe,0.92345295,0.939784468,1546.123,1853.813,688273.4,2016418,7,NA
pb1_21611411,2_1_6_1_1_4_1_1,30,31,30,NA,NA,NA,2020.203867,1.014574613,2024.161202,3.957335303,46.40390406,36.83406365,anseriformes-wild,eastern europe,0.514053994,0.972336407,3493.096,2965.666,1031044,1410868,11,NA
pb1_26116111,2_6_1_1_6_1_1_1,34,35,34,NA,NA,NA,2021.170337,1.042846792,2022.915068,1.744731244,38.20618057,114.289808,anseriformes-wild,eastern asia,0.964781691,0.991445395,5076.139,6071.862,1962719,4847874,10,NA
pb1_32313212,3_2_3_1_3_2_1_2,479,480,479,NA,NA,NA,2019.719322,1.021134171,2022.161644,2.442322321,48.37807284,49.95465292,anseriformes-wild,central asia,0.625597156,0.939340073,5243.358,4837.975,1123883,1812346,199,4
pb1_43112113,4_3_1_1_2_1_1_3,282,283,282,NA,NA,NA,2021.753188,1.018247922,2023.90411,2.15092178,45.83451518,-97.21545961,galliformes-domestic,northern america,0.95311632,0.999888901,10065.3,5588.434,1984847,2398258,129,25
pb1_51112113,5_1_1_1_2_1_1_3,35,36,35,NA,NA,NA,2022.027551,1.021265043,2023.221918,1.194367069,41.62572905,-96.17027257,anseriformes-wild,northern america,0.685257194,0.998555716,6746.635,4759.653,1068263,1147087,20,NA
pb1_54912111,5_4_9_1_2_1_1_1,44,45,44,NA,NA,NA,2022.256543,1.115459951,2023.320548,1.064005092,43.38595637,-87.8265249,anseriformes-wild,northern america,0.5314965,0.987556938,13466.5,8168.228,2512273,2042003,17,2
pb1_71521312,7_1_5_2_1_3_1_2,60,61,60,NA,NA,NA,2019.72249,1.044603019,2020.95082,1.228329826,50.54451634,19.87032712,galliformes-domestic,eastern europe,0.852683035,0.979557827,12992.25,7108.457,1573608,2786867,23,NA
pb2_11111111,1_1_1_1_1_1_1_1,53,54,53,NA,NA,NA,2014.453153,1.025272226,2024.120219,9.667065446,25.26549342,46.66358956,anseriformes-wild,eastern asia,0.355960449,0.340628819,2497.423,1702.691,599336.3,1357538,21,1
pb2_11111111A,1_1_1_1_1_1_1_1,24,25,24,NA,NA,NA,2017.904107,1.015809005,2023.109589,5.205482148,34.98210428,112.6927506,anseriformes-wild,eastern asia,0.349072325,0.844350628,2090.342,1014.748,276115.2,199703,12,1
pb2_11211111,1_1_2_1_1_1_1_1,524,525,524,NA,NA,NA,2017.306676,1.048293326,2024.144809,6.838133226,47.06001043,9.771122522,charadriiformes-wild,western europe,0.13787357,0.235973781,3140.781,1621.163,172467.6,186426.6,289,24
pb2_11414114,1_1_4_1_4_1_1_4,260,261,260,NA,NA,NA,2021.803373,1.023970165,2023.791781,1.988407935,50.67492529,1.224845636,charadriiformes-wild,western europe,0.938673481,0.932229752,4046.407,2750.004,419430.2,433833.8,80,22
pb2_16211111,1_6_2_1_1_1_1_1,30,31,30,NA,NA,NA,2017.207467,2.978530055,2024.106557,6.899090031,50.97290199,17.67692842,other-bird,western europe,0.283190757,0.392178647,2489.814,542.3326,148499.9,101215.6,19,NA
pb2_21211111,2_1_2_1_1_1_1_1,11,12,11,NA,NA,NA,2017.293348,1.875984894,2024.202186,6.908837765,49.7077565,35.33669158,anseriformes-wild,western europe,0.42428619,0.487279191,773.7859,954.1775,444332.3,775702.8,7,NA
pb2_21611411,2_1_6_1_1_4_1_1,31,32,31,NA,NA,NA,2020.423197,1.023642359,2024.161202,3.738005493,45.01399741,35.12861125,anseriformes-wild,eastern europe,0.657593601,0.948450172,5201.091,3826.161,1538955,1498767,10,NA
pb2_26116111,2_6_1_1_6_1_1_1,31,32,31,NA,NA,NA,2021.115822,1.048172159,2022.915068,1.799246313,38.5051643,113.68009,anseriformes-wild,eastern asia,0.942784135,0.990223309,3251.287,3770.027,796169.5,1985935,10,NA
pb2_32313212,3_2_3_1_3_2_1_2,488,489,488,NA,NA,NA,2018.747527,1.037768237,2022.161644,3.414116962,30.77491634,34.92783244,anseriformes-wild,northern africa,0.593822909,0.885234974,6642.624,4639.406,1283135,1508578,202,3
pb2_43112113,4_3_1_1_2_1_1_3,285,286,285,NA,NA,NA,2021.660591,1.011419502,2023.767123,2.106532044,46.31235206,-98.32841346,galliformes-domestic,northern america,0.958115765,1,6561.539,4645.892,1294368,1813289,135,28
pb2_51112113,5_1_1_1_2_1_1_3,33,34,33,NA,NA,NA,2022.030498,1.031844682,2023.221918,1.191419916,41.18378941,-99.67592996,anseriformes-wild,northern america,0.75313854,0.998333518,4342.848,4341.232,862918,1121473,20,NA
pb2_54912111,5_4_9_1_2_1_1_1,41,42,41,NA,NA,NA,2022.070657,1.078785781,2023.317808,1.247150877,40.79595181,-88.45442479,galliformes-domestic,northern america,0.652038662,0.989556716,3961.985,3068.859,460017.2,712397.9,20,2
pb2_71521312,7_1_5_2_1_3_1_2,70,71,70,NA,NA,NA,2019.793013,1.022703624,2020.969945,1.176932475,50.19695214,20.27367346,galliformes-domestic,eastern europe,0.868681258,0.993222975,17417.34,7254.506,2092126,2731181,24,NA
