data_name,Rcode,Ntips_with_Rcode,AncNode,NCladetips,evoRate,evoRate_95lower,evoRate_95upper,TMRCA,relative.depth,youngestTip.time,persist.time,Lat_MRCA,Lon_MRCA,cluster_number,collection_regionname,host_simplifiedhost,collection_countryname,virus_subtype,prob_cluster_number,prob_collection_regionname,prob_host_simplifiedhost,prob_collection_countryname,prob_virus_subtype,mean_branch_velocity,weighted_branch_velocity,original_diff_coeff,weighted_diff_coeff,count_cross_species,count_to_mammal
np_northamerica,4_11_1_1_7_26_1_1,1,502,4,0.002123147,0.000241404,0.054366535,2017.780533,0.458812305,2022.69863,4.918097296,37.3344459,-97.89040858,profileNA,northern america,anseriformes-wild,united states,H10N3,0.995333852,0.999777802,0.619597822,0.991556494,0.555604933,NA,NA,NA,NA,NA,NA
np_northamerica,8_5_1_1_7_1_1_3,6,510,6,0.006572864,0.000934629,0.021962263,2023.938545,0.036002802,2023.915068,0.023476741,52.02867976,-122.5856616,profile0007,northern america,other-bird,canada,H5N1,1,1,0.611487612,0.817464726,1,5520.186,4109.63,368643,323443.9,NA,NA
np_northamerica,4_5_1_1_7_1_1_3,16,515,16,0.015710066,0.000858349,0.111521852,2023.025918,0.09760972,2023.967123,0.941205386,44.61960045,-105.1644322,profile0007,northern america,mammal,united states,H5N1,1,1,0.462726364,0.996555938,1,11014.58,3691.46,1478262,742794,NA,NA
np_northamerica,6_4_20_1_2_1_1_1,2,530,426,0.006445315,0.000406685,0.051720835,2017.338539,0.483663599,2022.180822,4.842282829,41.20201703,-96.28786671,profile0002,northern america,anseriformes-wild,united states,H5N1,0.821600405,0.999873386,0.347809572,0.978982021,0.994302355,NA,NA,NA,NA,NA,NA
np_northamerica,2_6_1_1_6_1_1_1,1,532,78,0.05601567,0.012701884,0.134404627,2020.909492,0.248230589,2022.783562,1.874069944,49.40842805,-106.0850064,profile0001,northern america,other-bird,united states,H5N1,0.999116022,1,0.466961326,0.99558011,1,NA,NA,NA,NA,NA,NA
np_northamerica,2_1_1_1_1_1_1_1,55,533,77,0.014663616,0.000920886,0.084009764,2021.367109,0.211805884,2023.942466,2.575357117,42.97112915,-78.94597383,profile0001,northern america,anseriformes-wild,united states,H5N1,1,1,0.736462882,0.982969432,1,11111.29,10802.4,3714362,4166790,20,3
np_northamerica,8_5_1_1_1_1_1_3,1,537,5,0.003094866,0.000210585,0.042348719,2023.745541,0.04999049,2023.915068,0.169527807,54.46184256,-125.3695955,profile0001,northern america,other-bird,canada,H5N1,1,1,0.998811222,0.995482644,1,NA,NA,NA,NA,NA,NA
np_northamerica,15_1_1_1_1_1_1_1,2,549,2,0.006477995,0.000729932,0.037266419,2022.995588,0.100295489,2022.832877,0.162711639,41.37974488,-72.95390383,profile0001,northern america,galliformes-domestic,united states,H5N1,1,1,0.992334185,1,1,626.6808,626.6808,5151.931,5151.931,NA,NA
np_northamerica,2_4_1_1_1_1_1_1,1,551,26,0.006758328,0.000322243,0.078206463,2022.1511,0.156466442,2022.186301,0.035201534,45.05734572,-94.20859647,profile0001,northern america,anseriformes-wild,united states,H5N1,0.852460838,1,0.431174314,0.978002444,1,NA,NA,NA,NA,NA,NA
np_northamerica,5_1_1_1_1_1_1_1,1,568,5,0.003284412,0.000688456,0.004906409,2022.275645,0.149017653,2022.208219,0.067425757,40.3764705,-96.6608954,profile0001,northern america,anseriformes-wild,united states,H5N1,1,1,0.99410609,1,1,NA,NA,NA,NA,NA,NA
np_northamerica,27_1_1_1_1_1_1_1,1,573,2,0.004656273,0.000240837,0.048630375,2022.361248,0.141883318,2022.19726,0.163987822,40.3764705,-96.6608954,profile0001,northern america,anseriformes-wild,united states,H5N1,1,1,0.99410609,1,1,NA,NA,NA,NA,NA,NA
np_northamerica,1_1_1_1_1_1_1_1,2,577,9,0.00299907,0.001096068,0.006107042,2022.117008,0.158849828,2022.076712,0.040295591,38.22593155,-79.22756786,profile0001,northern america,anseriformes-wild,united states,H5N1,1,1,0.971042471,1,1,NA,NA,NA,NA,NA,NA
np_northamerica,2_1_1_1_1_1_1_11,6,597,13,0.002789527,0.000153181,0.033050193,2022.751254,0.11557415,2023.873973,1.122718624,42.09802121,-75.01640957,profile0001,northern america,other-bird,united states,H5N1,1,1,0.458756724,0.973998805,1,2521.071,2281.388,41158.1,37970.54,NA,NA
np_northamerica,4_4_14_1_1_1_1_11,5,599,11,0.001253687,0.000122082,0.013558081,2023.762717,0.049295345,2024.02459,0.261873416,42.3147348,-87.89604428,profile0001,northern america,galliformes-domestic,united states,H5N1,1,1,0.927280889,0.999663337,1,7163.858,6369.337,1408504,1343073,NA,NA
np_northamerica,2_5_1_1_1_1_1_11,2,608,2,0.006118171,0.000200921,0.086776327,2023.99448,0.031721127,2023.79726,0.197219307,45.75989873,-93.56761008,profile0001,northern america,galliformes-domestic,united states,H5N1,1,1,0.99977763,1,1,4001.62,4001.62,78092.89,78092.89,NA,NA
np_northamerica,4_1_1_1_2_1_1_1,30,609,347,0.002044177,0.000185076,0.036708074,2019.889316,0.31304605,2023.90411,4.014793698,45.43571952,-102.1005681,profile0002,northern america,anseriformes-wild,united states,H5N1,0.994318182,1,0.835227273,1,1,6965.872,3912.707,1029136,794966,3,NA
np_northamerica,4_4_1_1_2_1_1_1,1,627,2,0.003743065,0.000212775,0.04726052,2022.694291,0.119024787,2022.69589,0.001599023,49.69321173,-118.5897451,profile0002,northern america,other-bird,canada+united states,H5N1,1,1,0.738095238,1,1,NA,NA,NA,NA,NA,NA
np_northamerica,4_3_8_1_2_1_1_1,1,627,2,0.003743065,0.000212775,0.04726052,2022.694291,0.119024787,2023.156164,0.461872995,52.13182797,-121.6776164,profile0002,northern america,other-bird,canada,H5N1,1,1,0.865660655,0.886271623,1,NA,NA,NA,NA,NA,NA
np_northamerica,8_5_1_1_2_1_1_3,35,609,347,0.002044177,0.000185076,0.036708074,2019.889316,0.31304605,2024.18306,4.293744218,45.43571952,-102.1005681,profile0002,northern america,anseriformes-wild,united states,H5N1,0.994318182,1,0.835227273,1,1,7803.775,6283.053,1662815,1677259,7,1
np_northamerica,6_1_1_1_2_1_1_1,9,640,103,0.005988497,0.000606816,0.051951666,2021.807991,0.182607194,2022.336986,0.528994809,38.1803885,-87.80832203,profile0002,northern america,other-bird,united states,H5N1,1,1,0.921119876,0.999888901,1,11851.15,6862.558,2684251,1304441,1,1
np_northamerica,6_4_1_1_2_1_1_1,29,649,93,0.007976197,0.000445003,0.069557433,2022.10759,0.159613198,2023.260274,1.152683551,35.18315495,-84.80416829,profile0002,northern america,other-bird,united states,H5N1,1,1,0.996483001,1,1,6661.933,4132.485,1038224,939576.8,5,1
np_northamerica,4_3_1_1_2_1_1_1,4,609,347,0.002044177,0.000185076,0.036708074,2019.889316,0.31304605,2022.915068,3.025752602,45.43571952,-102.1005681,profile0002,northern america,anseriformes-wild,united states,H5N1,0.994318182,1,0.835227273,1,1,5098.802,5098.802,128374,128374,NA,NA
np_northamerica,6_4_8_1_2_1_1_1,26,650,88,0.004797328,0.000207333,0.06351413,2022.140251,0.157342222,2023.175342,1.035091757,35.67852016,-84.78463184,profile0002,northern america,other-bird,united states,H5N1,1,1,0.994103905,1,1,7593.168,5910.682,896205.5,1139499,8,NA
np_northamerica,5_4_9_1_2_1_1_1,24,683,36,0.004311524,0.000263182,0.03385936,2022.476498,0.134049961,2023.320548,0.844049611,36.88617461,-84.45934292,profile0002,northern america,other-bird,united states,H5N1,1,1,0.901653091,1,1,5324.451,3166.4,644351.5,506145,2,NA
np_northamerica,5_5_9_1_2_1_1_1,6,694,6,0.00495934,0.000194128,0.081625354,2023.018507,0.097211292,2023.89863,0.880122783,42.28327731,-84.55665929,profile0002,northern america,galliformes-domestic,united states,H5N1,1,1,0.875,1,1,808.2309,411.0279,9578.353,4867.708,NA,NA
np_northamerica,5_4_9_1_2_29_1_1,1,706,8,0.004114513,0.001075645,0.011196569,2022.790593,0.111844363,2023.347945,0.557352573,42.72101834,-90.32965962,profile0002,northern america,other-bird,united states,H5N1,1,1,0.720194647,1,0.98783455,NA,NA,NA,NA,NA,NA
np_northamerica,6_1_8_1_2_1_1_1,1,677,45,0.006722194,0.001957391,0.011512796,2022.334968,0.143017426,2022.273973,0.060994899,41.21302697,-85.88453275,profile0002,northern america,anseriformes-wild,united states,H5N1,1,1,0.553719008,1,1,NA,NA,NA,NA,NA,NA
np_northamerica,15_1_1_1_2_1_1_1,2,742,2,0.003698453,0.000549747,0.03016302,2022.383839,0.141505452,2022.254795,0.129044491,47.41008795,-100.8240115,profile0002,northern america,anseriformes-wild,united states,H5N1,1,1,0.994333963,1,1,349.1827,348.2746,2449.994,2443.623,NA,NA
