key,cluster_profile,segment,Ntips_with_Rcode,AncNode,NCladetips,evoRate,evoRate_95lower,evoRate_95upper,TMRCA,relative.depth,youngestTip.time,persist.time,Lat_MRCA,Lon_MRCA,collection_regionname,host_simplifiedhost,prob_collection_regionname,prob_host_simplifiedhost,mean_branch_velocity,weighted_branch_velocity,original_diff_coeff,weighted_diff_coeff,count_cross_species,count_to_mammal,col2,group2,Length_Between_First_Last_Sample
nx_91715111,9_1_7_1_5_1_1_1,nx,3,282,13,0.005181338,NA,NA,2022.589123,0.161326872,2022.956164,0.367041754,33.13878099,129.2665165,eastern asia,other-bird,1,1,NA,NA,NA,NA,NA,NA,#bfcc99,minor,0.068
nx_91115115,9_1_1_1_5_1_1_5,nx,1,283,3,0.00387845,7.05302e-4,0.011460254,2022.679629,0.151982041,2022.854795,0.175165995,34.15712265,128.4107615,eastern asia,other-bird,1,0.98245614,NA,NA,NA,NA,NA,NA,#E2B918,minor,0
nx_11715115,1_1_7_1_5_1_1_5,nx,8,280,39,0.004111376,0.002543932,0.006525981,2022.342209,0.183048669,2023.071233,0.729023905,33.07862173,129.277143,eastern asia,other-bird,1,1,718.724,711.1191,5104.772,5050.758,NA,NA,#66cc9c,minor,0.227
nx_20_7613111,20_7_6_1_3_1_1_1,nx,1,292,2,0.004681666,6.66492e-4,0.025804171,2022.627763,0.159681826,2022.873973,0.246209585,34.50174763,130.6197718,eastern asia,other-bird,1,0.693889542,NA,NA,NA,NA,NA,NA,#667ccc,minor,0
nx_20_1215116,20_1_2_1_5_1_1_6,nx,1,293,2,0.004152341,6.76465e-4,0.014214516,2022.64736,0.157668213,2023.013699,0.366338674,35.71573142,133.0069501,eastern asia,other-bird,1,0.824104235,NA,NA,NA,NA,NA,NA,#33becc,minor,0
nx_17119111,1_7_1_1_9_1_1_1,nx,1,293,2,0.004152341,6.76465e-4,0.014214516,2022.64736,0.157668213,2022.871233,0.223872921,35.31481944,132.0179543,eastern asia,other-bird,1,0.829787234,NA,NA,NA,NA,NA,NA,#33cc3a,minor,0
nx_16615115,1_6_6_1_5_1_1_5,nx,8,280,39,0.004111376,0.002543932,0.006525981,2022.342209,0.183048669,2022.967123,0.624914316,33.00264674,127.4470334,eastern asia,other-bird,1,0.993341554,653.2783,631.4044,9718.731,10128.39,NA,NA,#99cc66,minor,0.175
nx_20_1715111,20_1_7_1_5_1_1_1,nx,1,297,2,0.00472625,7.76129e-4,0.024777419,2022.744215,0.147016173,2022.89863,0.154414813,33.43744482,129.3520241,eastern asia,other-bird,1,0.97168182299999994,NA,NA,NA,NA,NA,NA,#99b5cc,minor,0
nx_11115115,1_1_1_1_5_1_1_5,nx,1,301,6,0.003667657,0.001490451,0.007828393,2022.599121,0.162244126,2022.835616,0.236495432,32.84103264,129.3836324,eastern asia,other-bird,1,0.912903226,NA,NA,NA,NA,NA,NA,#6f66cc,minor,0
nx_11715111,1_1_7_1_5_1_1_1,nx,2,308,2,0.005291709,8.5581e-4,0.025313704,2022.850249,0.137827354,2023.175342,0.325093858,33.55202213,130.3025235,eastern asia,other-bird,1,0.998777914,1156.698,1171.686,82706.72,93885.01,NA,NA,#cc66c9,minor,0.161
nx_16615111,1_6_6_1_5_1_1_1,nx,1,316,2,0.004030563,6.51867e-4,0.015513077,2022.787305,0.144078771,2022.90137,0.114065059,35.71573142,133.0069501,eastern asia,other-bird,1,0.824104235,NA,NA,NA,NA,NA,NA,#84cc66,minor,0
