cluster_profile,cluster_label,clade,number_Conti,number_hostType,Num_Sequence,Range_of_Host,Range_of_HostType,Host_Range_Per_Continent,Continent_of_Earliest_Date,Host_of_Earliest_Sample_Date,Range_of_Continent,Length_Between_First_Last_Sample,number_Mammal,prop_Mammal,group
20_9_13_1_5_1_1_1,H5N1/2022/R63_Asia,2.3.4.4b,1,1,1,Galliformes,Galliformes,Galliformes - Asia,Asia,Galliformes,Asia,0,0,0,minor
21_16_16_1_8_10_1_9,H5N6/2021/R5_Asia,2.3.4.4b,1,1,1,Anseriformes,Anseriformes domestic,Anseriformes domestic - Asia,Asia,Anseriformes domestic,Asia,0,0,0,minor
21_6_16_1_8_10_1_9,H5N6/2021/R9_Asia,2.3.4.4b,1,1,5,Galliformes,Galliformes,Galliformes - Asia,Asia,Galliformes,Asia,0,0,0,minor
22_2_3_1_3_2_1_2,H5N8/2022/R3_Africa,2.3.4.4b,1,2,3,Anseriformes,"Anseriformes domestic, Anseriformes wild","Anseriformes domestic - Africa, Anseriformes wild - Africa",Africa,Anseriformes wild,Africa,0.15068493150670292,0,0,minor
23_13_23_2_15_21_3_14,H5N3/2019/R1_Asia,2.3.4.4b,1,1,1,unknown avian,Avian other,Avian other - Asia,Asia,Avian other,Asia,0,0,0,minor
24_1_1_1_1_1_1_1,H5N1/2021/R5_Europe,2.3.4.4b,1,1,1,Anseriformes,Anseriformes wild,Anseriformes wild - Europe,Europe,Anseriformes wild,Europe,0,0,0,minor
25_1_1_1_1_1_1_1,H5N1/2021/R6_Europe,2.3.4.4b,1,1,1,Passeriformes,Avian other,Avian other - Europe,Europe,Avian other,Europe,0,0,0,minor
26_18_24_1_17_10_1_16,H5N6/2021/R6_Asia,2.3.4.4b,1,1,1,Galliformes,Galliformes,Galliformes - Asia,Asia,Galliformes,Asia,0,0,0,minor
27_1_1_1_1_1_1_1,H5N1/2022/R14_NAmerica,2.3.4.4b,1,1,1,Anseriformes,Anseriformes wild,Anseriformes wild - North America,North America,Anseriformes wild,North America,0,0,0,minor
28_3_1_1_2_1_1_3,H5N1/2023/R3_NAmerica,2.3.4.4b,1,1,1,Passeriformes,Avian other,Avian other - North America,North America,Avian other,North America,0,0,0,minor
2_1_12_1_1_1_1_1,H5N1/2023/R12_Asia,2.3.4.4b,1,1,1,Galliformes,Galliformes,Galliformes - Asia,Asia,Galliformes,Asia,0,0,0,minor
2_1_17_1_1_1_1_1,H5N1/2021/R14_Africa,2.3.4.4b,1,2,6,"unknown avian, Galliformes","Avian other, Galliformes","Avian other - Africa, Galliformes - Africa",Africa,Avian other,Africa,0.27123287671224716,0,0,minor
2_1_18_1_1_1_1_1,H5N1/2022/R24_Europe,2.3.4.4b,1,2,2,"Suliformes, Anseriformes","Avian other, Anseriformes wild","Avian other - Europe, Anseriformes wild - Europe",Europe,Avian other,Europe,1.0986301369862304,0,0,major
2_1_1_1_10_1_1_1,H5N1/2021/R12_Europe,2.3.4.4b,1,3,14,"Charadriiformes, Columbiformes, Strigiformes, Falconiformes, Galliformes, Accipitriformes","Charadriiformes, Avian other, Galliformes","Charadriiformes - Europe, Avian other - Europe, Galliformes - Europe",Europe,Charadriiformes,Europe,0.17808219178095896,0,0,minor
2_1_1_1_1_16_1_2,H5N8/2020/R5_Europe,2.3.4.4b,1,1,3,Galliformes,Galliformes,Galliformes - Europe,Europe,Galliformes,Europe,0,0,0,minor
2_1_1_1_1_1_1_1,H5N1/2020/R1_Europe,2.3.4.4b,4,7,1958,"Anseriformes, Galliformes, Accipitriformes, Charadriiformes, Passeriformes, Falconiformes, Strigiformes, Mammal, Pelecaniformes, Ciconiiformes, Casuariiformes, Suliformes, Struthioniformes, Gruiformes, Psittaciformes, Procellariiformes, Sphenisciformes, unknown avian, environment, Apodiformes, Caprimulgidae","Anseriformes wild, Galliformes, Avian other, Charadriiformes, Anseriformes domestic, Mammal, environment","Anseriformes wild - Europe, Galliformes - Europe, Avian other - Europe, Charadriiformes - Europe, Anseriformes domestic - Europe, Mammal - Europe, Galliformes - Africa, Avian other - Africa, Anseriformes wild - North America, Avian other - Asia, Anseriformes wild - Asia, Galliformes - North America, Anseriformes domestic - North America, Avian other - North America, Mammal - Asia, Mammal - North America, Charadriiformes - Africa, Anseriformes domestic - Africa, Charadriiformes - North America, Anseriformes wild - Africa, Galliformes - Asia, Charadriiformes - Asia, environment - Asia, Anseriformes domestic - Asia",Europe,Anseriformes wild,"Europe, Africa, North America, Asia",3.4480874316939207,72,0.03677221654749745,dominant
2_1_1_1_1_1_1_11,H5N1/2022/R39_NAmerica,2.3.4.4b,1,4,11,"Suliformes, Charadriiformes, Galliformes, Anseriformes","Avian other, Charadriiformes, Galliformes, Anseriformes domestic","Avian other - North America, Charadriiformes - North America, Galliformes - North America, Anseriformes domestic - North America",North America,Avian other,North America,0.94520547945217,0,0,major
2_1_1_1_1_1_5_1,H5N1/2021/R16_Europe,2.3.4.4b,1,1,1,Anseriformes,Anseriformes wild,Anseriformes wild - Europe,Europe,Anseriformes wild,Europe,0,0,0,minor
2_1_1_1_1_28_6_1,H5N2/2021/R1_Africa,2.3.4.4b,1,1,1,Galliformes,Galliformes,Galliformes - Africa,Africa,Galliformes,Africa,0,0,0,minor
2_1_1_1_1_30_1_1,H5N5/2024/R1_Asia,2.3.4.4b,1,1,1,Falconiformes,Avian other,Avian other - Asia,Asia,Avian other,Asia,0,0,0,minor
2_1_1_1_1_4_1_1,H5N5/2021/R4_Europe,2.3.4.4b,1,3,8,"Anseriformes, Galliformes, Accipitriformes","Anseriformes wild, Galliformes, Avian other","Anseriformes wild - Europe, Galliformes - Europe, Avian other - Europe",Europe,Anseriformes wild,Europe,0.22739726027407414,0,0,minor
2_1_1_1_2_1_1_1,H5N1/2022/R4_NAmerica,2.3.4.4b,1,4,34,"Galliformes, Anseriformes, Accipitriformes, Falconiformes, Pelecaniformes, unknown avian, Strigiformes","Galliformes, Anseriformes domestic, Anseriformes wild, Avian other","Galliformes - North America, Anseriformes domestic - North America, Anseriformes wild - North America, Avian other - North America",North America,Anseriformes wild,North America,0.18356164383567375,0,0,minor
2_1_1_1_5_1_1_18,H5N1/2022/R62_Asia,2.3.4.4b,1,1,1,Galliformes,Galliformes,Galliformes - Asia,Asia,Galliformes,Asia,0,0,0,minor
