,cluster_profile,profile_lab,clade,Num_Sequence,Range_of_Host,Range_of_HostType,Host_Range_Per_Continent,Continent_of_Earliest_Date,Host_of_Earliest_Sample_Date,Range_of_Continent,Length_Between_First_Last_Sample,number_Conti,number_hostType,group,colour
85,23_1_23_1_1_1_1_1,H5N1/2022/R17_Asia,2.3.4.4b,8,"wild-Passeriformes, wild-Mammal","wild-ave, mammal","wild-Passeriformes - Asia, wild-Mammal - Asia",Asia,wild-Passeriformes,Asia,0.332000000000107,1,2,major,#c533cc
86,24_1_25_1_14_1_1_7,H5N1/2021/R9_Europe,2.3.4.4b,7,"wild-Pelecaniformes, wild-Anseriformes, domestic-Anseriformes","wild-ave, domestic-ave","wild-Pelecaniformes - Europe, wild-Anseriformes - Europe, domestic-Anseriformes - Europe",Europe,wild-Pelecaniformes,Europe,0.257000000000062,1,2,major,#cc99bc
87,25_4_1_1_2_1_1_4,NA,2.3.4.4b,1,wild-Accipitriformes,wild-ave,wild-Accipitriformes - North America,North America,wild-Accipitriformes,North America,0,1,1,minor,#cc6689
88,25_4_26_17_19_31_10_8,NA,Am_nonGsGD,1,wild-Charadriiformes,wild-ave,wild-Charadriiformes - North America,North America,wild-Charadriiformes,North America,0,1,1,minor,#d3d3d3
89,25_4_26_36_19_59_22_38,NA,Am_nonGsGD,1,wild-Anseriformes,wild-ave,wild-Anseriformes - North America,North America,wild-Anseriformes,North America,0,1,1,minor,#d3d3d3
90,25_4_40_17_19_31_10_32,NA,Am_nonGsGD,2,"wild-Anseriformes, wild-Charadriiformes",wild-ave,"wild-Anseriformes - North America, wild-Charadriiformes - North America",North America,wild-Anseriformes,North America,0,1,1,minor,#d3d3d3
91,25_4_40_17_19_31_10_58,NA,Am_nonGsGD,1,wild-Charadriiformes,wild-ave,wild-Charadriiformes - North America,North America,wild-Charadriiformes,North America,0,1,1,minor,#d3d3d3
92,26_1_30_1_13_25_1_25,NA,2.3.4.4b,4,domestic-Galliformes,domestic-ave,domestic-Galliformes - Asia,Asia,domestic-Galliformes,Asia,0,1,1,major,#cc3333
93,26_23_46_1_13_50_1_30,NA,2.3.4.4b,1,domestic-Anseriformes,domestic-ave,domestic-Anseriformes - Asia,Asia,domestic-Anseriformes,Asia,0,1,1,minor,#cc7466
94,26_23_46_58_13_50_2_30,NA,2.3.4.4h,1,wild-Mammal,mammal,wild-Mammal - Asia,Asia,wild-Mammal,Asia,0,1,1,minor,#f0ffff
95,27_9_14_6_8_11_4_22,H5N6/2020/R5_Asia,2.3.4.4g,6,domestic-Anseriformes,domestic-ave,domestic-Anseriformes - Asia,Asia,domestic-Anseriformes,Asia,0,1,1,major,#fffaf0
96,28_1_2_26_12_49_1_23,NA,EA_nonGsGD,2,domestic-Anseriformes,domestic-ave,domestic-Anseriformes - Europe,Europe,domestic-Anseriformes,Europe,0,1,1,minor,#dcdcdc
97,28_1_2_49_43_80_1_1,NA,EA_nonGsGD,1,wild-Anseriformes,wild-ave,wild-Anseriformes - Europe,Europe,wild-Anseriformes,Europe,0,1,1,minor,#dcdcdc
98,28_1_35_1_1_2_1_7,NA,2.3.4.4b,1,domestic-Galliformes,domestic-ave,domestic-Galliformes - Europe,Europe,domestic-Galliformes,Europe,0,1,1,minor,#cc7d33
99,29_1_2_1_1_79_14_1,NA,2.3.4.4b,1,wild-Anseriformes,wild-ave,wild-Anseriformes - Europe,Europe,wild-Anseriformes,Europe,0,1,1,minor,#ccc399
100,29_1_77_14_12_76_31_23,NA,EA_nonGsGD,1,wild-Anseriformes,wild-ave,wild-Anseriformes - Europe,Europe,wild-Anseriformes,Europe,0,1,1,minor,#dcdcdc
101,29_34_63_24_1_63_14_1,NA,EA_nonGsGD,1,wild-Anseriformes,wild-ave,wild-Anseriformes - Europe,Europe,wild-Anseriformes,Europe,0,1,1,minor,#dcdcdc
102,2_16_37_45_41_74_1_21,NA,EA_nonGsGD,1,domestic-Anseriformes,domestic-ave,domestic-Anseriformes - Asia,Asia,domestic-Anseriformes,Asia,0,1,1,minor,#dcdcdc
