,cluster_profile,profile_lab,clade,Num_Sequence,Range_of_Host,Range_of_HostType,Host_Range_Per_Continent,Continent_of_Earliest_Date,Host_of_Earliest_Sample_Date,Range_of_Continent,Length_Between_First_Last_Sample,number_Conti,number_hostType,group,colour
1,10_1_13_1_1_1_1_1,H5N1/2022/R15_Europe,2.3.4.4b,23,"wild-Anseriformes, wild-Charadriiformes, domestic-Anseriformes, domestic-Galliformes, wild-Sphenisciformes, wild-Gruiformes","wild-ave, domestic-ave","wild-Anseriformes - Europe, wild-Charadriiformes - Europe, domestic-Anseriformes - Europe, domestic-Galliformes - Europe, wild-Sphenisciformes - Europe, wild-Gruiformes - Europe",Europe,wild-Anseriformes,Europe,0.236000000000104,1,2,major,#cc6966
2,10_1_1_1_1_1_1_1,H5N1/2021/R3_Europe,2.3.4.4b,11,"wild-Accipitriformes, domestic-Galliformes, wild-Anseriformes, wild-Strigiformes, wild-Mammal","wild-ave, domestic-ave, mammal","wild-Accipitriformes - Europe, domestic-Galliformes - Europe, wild-Anseriformes - Europe, wild-Strigiformes - Europe, wild-Mammal - Europe",Europe,domestic-Galliformes,Europe,0.632945000000063,1,3,major,#cc6d33
3,10_1_1_1_1_1_1_7,H5N1/2021/R7_Europe,2.3.4.4b,36,"domestic-Galliformes, domestic-Anseriformes, wild-Pelecaniformes, wild-Anseriformes, wild-Accipitriformes","domestic-ave, wild-ave","domestic-Galliformes - Europe, domestic-Anseriformes - Europe, wild-Pelecaniformes - Europe, wild-Anseriformes - Europe, wild-Accipitriformes - Europe",Europe,domestic-Galliformes,Europe,1.30100000000016,1,2,major,#ccbe99
4,10_1_1_1_22_1_1_1,NA,2.3.4.4b,1,wild-Anseriformes,wild-ave,wild-Anseriformes - Europe,Europe,wild-Anseriformes,Europe,0,1,1,minor,#c4cc66
5,10_29_57_33_31_56_20_36,NA,EA_nonGsGD,1,domestic-Galliformes,domestic-ave,domestic-Galliformes - Europe,Europe,domestic-Galliformes,Europe,0,1,1,minor,#dcdcdc
6,10_37_3_1_36_65_1_2,NA,2.3.4.4b,1,wild-Anseriformes,wild-ave,wild-Anseriformes - Europe,Europe,wild-Anseriformes,Europe,0,1,1,minor,#8bcc33
7,11_6_7_3_4_5_2_5,H5N6/2020/R1_Asia,2.3.4.4h,51,"wild-Anseriformes, NA-environment, domestic-Anseriformes","wild-ave, other, domestic-ave","wild-Anseriformes - Asia, NA-environment - Asia, domestic-Anseriformes - Asia",Asia,wild-Anseriformes,Asia,0.363851999999952,1,3,major,#f0ffff
8,12_3_1_1_2_1_1_4,H5N1/2023/R1_NAmerica,2.3.4.4b,32,"wild-Accipitriformes, wild-Passeriformes, wild-Anseriformes, wild-Falconiformes, wild-Strigiformes",wild-ave,"wild-Accipitriformes - North America, wild-Passeriformes - North America, wild-Anseriformes - North America, wild-Falconiformes - North America, wild-Strigiformes - North America",North America,wild-Accipitriformes,North America,0.276000000000067,1,1,major,#a4cc99
9,13_19_38_20_1_30_3_6,NA,2.3.2.1a,3,"domestic-Anseriformes, domestic-Galliformes",domestic-ave,"domestic-Anseriformes - Asia, domestic-Galliformes - Asia",Asia,domestic-Anseriformes,Asia,0,1,1,major,#fffff0
10,13_5_10_7_1_13_29_6,NA,2.3.2.1a,1,domestic-Anseriformes,domestic-ave,domestic-Anseriformes - Asia,Asia,domestic-Anseriformes,Asia,0,1,1,minor,#fffff0
11,13_5_10_7_1_13_3_6,NA,2.3.2.1a,1,domestic-Anseriformes,domestic-ave,domestic-Anseriformes - Asia,Asia,domestic-Anseriformes,Asia,0,1,1,minor,#fffff0
12,13_5_10_7_1_13_7_47,NA,2.3.2.1a,1,domestic-Anseriformes,domestic-ave,domestic-Anseriformes - Asia,Asia,domestic-Anseriformes,Asia,0,1,1,minor,#fffff0
13,13_5_10_7_1_13_7_6,H5N1/2020/R4_Asia,2.3.2.1a,12,"domestic-Anseriformes, domestic-Galliformes",domestic-ave,"domestic-Anseriformes - Asia, domestic-Galliformes - Asia",Asia,domestic-Anseriformes,Asia,1.36899999999991,1,1,major,#fffff0
14,13_5_24_15_1_21_8_19,H5N1/2020/R3_Asia,2.3.2.1a,7,"domestic-Galliformes, domestic-Anseriformes",domestic-ave,"domestic-Galliformes - Asia, domestic-Anseriformes - Asia",Asia,domestic-Anseriformes,Asia,0.905999999999949,1,1,major,#fffff0
15,13_5_36_7_1_39_3_6,NA,2.3.2.1a,3,domestic-Anseriformes,domestic-ave,domestic-Anseriformes - Asia,Asia,domestic-Anseriformes,Asia,0,1,1,major,#fffff0
16,13_5_61_18_1_27_8_6,NA,2.3.2.1a,1,domestic-Anseriformes,domestic-ave,domestic-Anseriformes - Asia,Asia,domestic-Anseriformes,Asia,0,1,1,minor,#fffff0
17,13_5_75_7_1_13_7_6,NA,2.3.2.1a,1,domestic-Anseriformes,domestic-ave,domestic-Anseriformes - Asia,Asia,domestic-Anseriformes,Asia,0,1,1,minor,#fffff0
18,14_48_76_46_1_30_3_6,NA,2.3.2.1a,1,domestic-Anseriformes,domestic-ave,domestic-Anseriformes - Asia,Asia,domestic-Anseriformes,Asia,0,1,1,minor,#fffff0
19,14_5_10_5_1_75_3_6,NA,2.3.2.1a,1,domestic-Anseriformes,domestic-ave,domestic-Anseriformes - Asia,Asia,domestic-Anseriformes,Asia,0,1,1,minor,#fffff0
20,14_5_10_5_1_9_3_6,H5N1/2021/R1_Asia,2.3.2.1a,22,"domestic-Anseriformes, domestic-Galliformes",domestic-ave,"domestic-Anseriformes - Asia, domestic-Galliformes - Asia",Asia,domestic-Anseriformes,Asia,0.942000000000007,1,1,major,#fffff0
21,14_5_85_5_1_85_3_6,NA,2.3.2.1a,1,domestic-Anseriformes,domestic-ave,domestic-Anseriformes - Asia,Asia,domestic-Anseriformes,Asia,0,1,1,minor,#fffff0
22,15_10_7_8_9_10_6_9,H5N6/2020/R7_Asia,2.3.4.4h,16,domestic-Anseriformes,domestic-ave,domestic-Anseriformes - Asia,Asia,domestic-Anseriformes,Asia,0.380000000000109,1,1,major,#f0ffff
23,16_8_20_9_4_15_2_13,H5N6/2020/R3_Asia,2.3.4.4h,11,"domestic-Anseriformes, domestic-Galliformes",domestic-ave,"domestic-Anseriformes - Asia, domestic-Galliformes - Asia",Asia,domestic-Anseriformes,Asia,0.678000000000111,1,1,major,#f0ffff
24,16_8_42_9_4_15_2_27,NA,2.3.4.4h,2,"domestic-Anseriformes, domestic-Galliformes",domestic-ave,"domestic-Anseriformes - Asia, domestic-Galliformes - Asia",Asia,domestic-Anseriformes,Asia,0.0140000000001237,1,1,minor,#f0ffff
25,16_8_56_9_4_15_2_35,NA,2.3.4.4h,1,domestic-Anseriformes,domestic-ave,domestic-Anseriformes - Asia,Asia,domestic-Anseriformes,Asia,0,1,1,minor,#f0ffff
26,17_11_17_10_10_17_5_16,H5N1/2020/R1_Asia,2.3.2.1c,10,domestic-Anseriformes,domestic-ave,domestic-Anseriformes - Asia,Asia,domestic-Anseriformes,Asia,0,1,1,major,#f0fff0
27,17_11_17_16_10_28_5_24,NA,2.3.2.1c,4,domestic-Anseriformes,domestic-ave,domestic-Anseriformes - Asia,Asia,domestic-Anseriformes,Asia,0,1,1,major,#f0fff0
28,18_12_18_1_4_12_1_11,H5N6/2021/R1_Asia,2.3.4.4b,11,"domestic-Anseriformes, wild-Mammal, domestic-Galliformes","domestic-ave, mammal","domestic-Anseriformes - Asia, wild-Mammal - Asia, domestic-Galliformes - Asia",Asia,domestic-Anseriformes,Asia,0.551067999999987,1,2,major,#66cc71
29,18_12_18_1_4_60_1_11,NA,2.3.4.4b,1,domestic-Galliformes,domestic-ave,domestic-Galliformes - Asia,Asia,domestic-Galliformes,Asia,0,1,1,minor,#33cc79
30,18_40_18_1_4_12_1_11,NA,2.3.4.4b,1,domestic-Anseriformes,domestic-ave,domestic-Anseriformes - Asia,Asia,domestic-Anseriformes,Asia,0,1,1,minor,#99ccc2
31,18_41_18_1_4_12_1_11,NA,2.3.4.4b,1,domestic-Anseriformes,domestic-ave,domestic-Anseriformes - Asia,Asia,domestic-Anseriformes,Asia,0,1,1,minor,#66bccc
32,19_9_14_6_8_11_4_12,H5N6/2020/R6_Asia,2.3.4.4g,14,domestic-Anseriformes,domestic-ave,domestic-Anseriformes - Asia,Asia,domestic-Anseriformes,Asia,0,1,1,major,#fffaf0
33,1_16_5_2_1_3_1_2,NA,2.3.4.4b,1,domestic-Anseriformes,domestic-ave,domestic-Anseriformes - Asia,Asia,domestic-Anseriformes,Asia,0,1,1,minor,#337fcc
34,1_17_22_1_6_1_1_1,NA,2.3.4.4b,1,wild-Anseriformes,wild-ave,wild-Anseriformes - Asia,Asia,wild-Anseriformes,Asia,0,1,1,minor,#99a0cc
35,1_17_22_1_6_1_1_21,NA,2.3.4.4b,4,"wild-Anseriformes, wild-unknown avian",wild-ave,"wild-Anseriformes - Asia, wild-unknown avian - Asia",Asia,wild-unknown avian,Asia,0.02800000000002,1,1,major,#7a66cc
36,1_1_12_1_1_1_1_1,NA,2.3.4.4b,1,wild-Anseriformes,wild-ave,wild-Anseriformes - Asia,Asia,wild-Anseriformes,Asia,0,1,1,minor,#8633cc
37,1_1_12_1_6_2_1_17,H5N8/2021/R2_Asia,2.3.4.4b,8,domestic-Anseriformes,domestic-ave,domestic-Anseriformes - Asia,Asia,domestic-Anseriformes,Asia,0.166999999999916,1,1,major,#c699cc
38,1_1_13_1_1_1_1_1,NA,2.3.4.4b,1,domestic-Anseriformes,domestic-ave,domestic-Anseriformes - Europe,Europe,domestic-Anseriformes,Europe,0,1,1,minor,#cc66b3
39,1_1_15_1_6_1_1_53,NA,2.3.4.4b,1,wild-Anseriformes,wild-ave,wild-Anseriformes - Asia,Asia,wild-Anseriformes,Asia,0,1,1,minor,#cc3372
40,1_1_15_2_1_3_1_14,H5N8/2020/R4_Asia,2.3.4.4b,10,"domestic-Anseriformes, domestic-Galliformes, wild-unknown avian","domestic-ave, wild-ave","domestic-Anseriformes - Asia, domestic-Galliformes - Asia, wild-unknown avian - Asia",Asia,wild-unknown avian,Asia,0.0710000000001401,1,2,major,#cc999c
41,1_1_15_2_1_3_1_2,H5N8/2020/R5_Asia,2.3.4.4b,8,"wild-Accipitriformes, domestic-Galliformes, wild-Anseriformes, domestic-Anseriformes","wild-ave, domestic-ave","wild-Accipitriformes - Asia, domestic-Galliformes - Asia, wild-Anseriformes - Asia, domestic-Anseriformes - Asia",Asia,domestic-Anseriformes,Asia,0.204999999999927,1,2,major,#cc3d33
42,1_1_19_1_7_14_1_1,H5N3/2020/R1_Europe,2.3.4.4b,13,"wild-Charadriiformes, wild-Accipitriformes, wild-Falconiformes",wild-ave,"wild-Charadriiformes - Europe, wild-Accipitriformes - Europe, wild-Falconiformes - Europe",Europe,wild-Charadriiformes,Europe,0.191000000000031,1,1,major,#ccae99
