"continent","start_point","random","end_point","diversity"
"Europe",2022,2,2023,3.09425582293589
"North America",2022,2,2023,6.19605380845436
"Asia",2022.1,2,2023.1,5.4443947254835
"Africa",2022.1,2,2023.1,3.28332625179094
"Europe",2022.1,2,2023.1,2.63523747705206
"North America",2022.1,2,2023.1,6.44636858344798
"Asia",2022.2,2,2023.2,5.26552804154754
"Africa",2022.2,2,2023.2,3.50430491691107
"Europe",2022.2,2,2023.2,2.55008458437379
"North America",2022.2,2,2023.2,6.71279867246479
"Asia",2022.3,2,2023.3,4.89231352119404
"Africa",2022.3,2,2023.3,4.06184521129471
"Europe",2022.3,2,2023.3,2.55961503514445
"North America",2022.3,2,2023.3,6.89862819930462
"Asia",2022.4,2,2023.4,4.89231352119404
"Africa",2022.4,2,2023.4,4.08952288548172
"Europe",2022.4,2,2023.4,2.91328084732276
"North America",2022.4,2,2023.4,5.71419129820392
"Asia",2022.5,2,2023.5,4.52593878835318
"Africa",2022.5,2,2023.5,4.13240297377621
"Europe",2022.5,2,2023.5,2.85576365846044
"North America",2022.5,2,2023.5,5.43691090019693
"Asia",2022.6,2,2023.6,4.16086873446634
"Africa",2022.6,2,2023.6,4.14685376556637
"Europe",2022.6,2,2023.6,3.0445677855179
"North America",2022.6,2,2023.6,5.40445668410178
"Asia",2022.7,2,2023.7,4.18111184189688
"Africa",2022.7,2,2023.7,4.14685376556637
"Europe",2022.7,2,2023.7,3.26011684880417
"North America",2022.7,2,2023.7,5.31975167439551
"Asia",2022.8,2,2023.8,3.83534757950858
"Africa",2022.8,2,2023.8,3.60382549589819
"Europe",2022.8,2,2023.8,3.28797294473411
"North America",2022.8,2,2023.8,6.46496297075632
"Asia",2022.9,2,2023.9,4.75444508512431
"Africa",2022.9,2,2023.9,2.80221170254464
"Europe",2022.9,2,2023.9,3.93095136164706
"North America",2022.9,2,2023.9,6.72661865198823
"Asia",2023,2,2024,3.58425549346683
"Africa",2023,2,2024,2.77897749033688
"Europe",2023,2,2024,3.86019977127492
"North America",2023,2,2024,7.20038865831074
"Asia",2023.1,2,2024.1,2.8218489457419
"Africa",2023.1,2,2024.1,2.79598332180171
"Europe",2023.1,2,2024.1,5.16489075572499
"North America",2023.1,2,2024.1,7.22277991808134
"Asia",2023.2,2,2024.2,2.35649193197151
"Africa",2023.2,2,2024.2,1.5691925832142
"Europe",2023.2,2,2024.2,6.1273926987772
"North America",2023.2,2,2024.2,6.00643181169003
"Asia",2023.3,2,2024.3,2.12760462592827
"Africa",2023.3,2,2024.3,1
"Europe",2023.3,2,2024.3,6.51929325293535
"North America",2023.3,2,2024.3,5.91390047929662
"Asia",2023.4,2,2024.4,2.12760462592826
"Africa",2023.4,2,2024.4,1
"Europe",2023.4,2,2024.4,6.99876311838004
"North America",2023.4,2,2024.4,5.14206385130644
"Asia",2023.5,2,2024.5,2.12760462592826
"Africa",2023.5,2,2024.5,1
"Europe",2023.5,2,2024.5,7.86091812883238
"North America",2023.5,2,2024.5,5.14206385130644
"Asia",2020,3,2021,4.62508274972812
"Africa",2020,3,2021,1.75476535060332
"Europe",2020,3,2021,1.42993238487999
"North America",2020,3,2021,NA
"Asia",2020.1,3,2021.1,4.27499636793888
"Africa",2020.1,3,2021.1,2.36308337479986
"Europe",2020.1,3,2021.1,1.54434476007559
"North America",2020.1,3,2021.1,NA
"Asia",2020.2,3,2021.2,3.97188732881672
"Africa",2020.2,3,2021.2,2.3084243035018
"Europe",2020.2,3,2021.2,1.93925638685938
"North America",2020.2,3,2021.2,NA
"Asia",2020.3,3,2021.3,3.97188732881672
"Africa",2020.3,3,2021.3,1.90311411625558
"Europe",2020.3,3,2021.3,1.6614965807297
"North America",2020.3,3,2021.3,NA
"Asia",2020.4,3,2021.4,4.10442197995435
"Africa",2020.4,3,2021.4,1.64117316870686
"Europe",2020.4,3,2021.4,1.52169776414195
"North America",2020.4,3,2021.4,NA
"Asia",2020.5,3,2021.5,4.10442197995436
"Africa",2020.5,3,2021.5,1.60552633067449
"Europe",2020.5,3,2021.5,1.50458334748958
"North America",2020.5,3,2021.5,NA
"Asia",2020.6,3,2021.6,4.34848649187226
"Africa",2020.6,3,2021.6,2.0965335942306
"Europe",2020.6,3,2021.6,1.50458334748958
"North America",2020.6,3,2021.6,NA
"Asia",2020.7,3,2021.7,4.34848649187226
"Africa",2020.7,3,2021.7,2.10796368364371
"Europe",2020.7,3,2021.7,1.61794045167255
"North America",2020.7,3,2021.7,NA
"Asia",2020.8,3,2021.8,5.07324070247581
"Africa",2020.8,3,2021.8,2.02968059320947
"Europe",2020.8,3,2021.8,1.94613291032903
"North America",2020.8,3,2021.8,NA
"Asia",2020.9,3,2021.9,6.23225226669998
"Africa",2020.9,3,2021.9,2.03156961323313
"Europe",2020.9,3,2021.9,3.48744828932859
"North America",2020.9,3,2021.9,NA
"Asia",2021,3,2022,5.27815802204776
"Africa",2021,3,2022,2.27793768261882
"Europe",2021,3,2022,3.8057927568506
"North America",2021,3,2022,NA
"Asia",2021.1,3,2022.1,7.9804775446251
"Africa",2021.1,3,2022.1,2.00998075167169
"Europe",2021.1,3,2022.1,3.90367171689324
"North America",2021.1,3,2022.1,1.38414548846169
"Asia",2021.2,3,2022.2,7.65759732361701
"Africa",2021.2,3,2022.2,1.73906743731415
"Europe",2021.2,3,2022.2,3.41877934573188
"North America",2021.2,3,2022.2,2.77474870190127
"Asia",2021.3,3,2022.3,7.71378727237863
"Africa",2021.3,3,2022.3,1.9836806292124
"Europe",2021.3,3,2022.3,3.05941450071203
"North America",2021.3,3,2022.3,4.5055971662406
"Asia",2021.4,3,2022.4,6.78429420771664
"Africa",2021.4,3,2022.4,2.11640964240324
"Europe",2021.4,3,2022.4,2.99285819612728
"North America",2021.4,3,2022.4,5.03760902643224
"Asia",2021.5,3,2022.5,6.543858818277
"Africa",2021.5,3,2022.5,2.23829221563439
"Europe",2021.5,3,2022.5,3.29242321622203
"North America",2021.5,3,2022.5,5.15093182448305
"Asia",2021.6,3,2022.6,6.81618811655433
"Africa",2021.6,3,2022.6,1.95244659869209
"Europe",2021.6,3,2022.6,3.46510702561789
"North America",2021.6,3,2022.6,5.13534139378212
"Asia",2021.7,3,2022.7,6.81618811655432
"Africa",2021.7,3,2022.7,1.89155055710898
"Europe",2021.7,3,2022.7,3.36116080689163
"North America",2021.7,3,2022.7,5.40459453982947
"Asia",2021.8,3,2022.8,5.90043116511947
"Africa",2021.8,3,2022.8,1.96965984577962
"Europe",2021.8,3,2022.8,3.335504892629
"North America",2021.8,3,2022.8,5.81503696993642
"Asia",2021.9,3,2022.9,9.5753372832323
"Africa",2021.9,3,2022.9,1.97482790487548
"Europe",2021.9,3,2022.9,3.34925258334676
"North America",2021.9,3,2022.9,6.1985820484886
"Asia",2022,3,2023,8.20607485700705
"Africa",2022,3,2023,2.18891708815217
"Europe",2022,3,2023,2.96255709488726
"North America",2022,3,2023,6.2542126024581
"Asia",2022.1,3,2023.1,6.85994222172338
"Africa",2022.1,3,2023.1,3.28332625179094
"Europe",2022.1,3,2023.1,2.38134057366903
"North America",2022.1,3,2023.1,6.3529851771621
"Asia",2022.2,3,2023.2,5.88649290756842
"Africa",2022.2,3,2023.2,3.50430491691107
"Europe",2022.2,3,2023.2,2.72282543892721
"North America",2022.2,3,2023.2,6.83988045533098
"Asia",2022.3,3,2023.3,5.79702652987295
"Africa",2022.3,3,2023.3,4.06184521129471
"Europe",2022.3,3,2023.3,2.93531353368566
"North America",2022.3,3,2023.3,7.57668473294911
"Asia",2022.4,3,2023.4,5.79702652987295
"Africa",2022.4,3,2023.4,4.08952288548172
"Europe",2022.4,3,2023.4,3.05849925824908
"North America",2022.4,3,2023.4,6.44999183426111
"Asia",2022.5,3,2023.5,5.45725353585478
"Africa",2022.5,3,2023.5,4.13240297377621
"Europe",2022.5,3,2023.5,3.01864413166423
"North America",2022.5,3,2023.5,5.53891511621136
"Asia",2022.6,3,2023.6,5.54740207464513
"Africa",2022.6,3,2023.6,4.14685376556638
"Europe",2022.6,3,2023.6,2.79081897816908
"North America",2022.6,3,2023.6,5.29431975810054
"Asia",2022.7,3,2023.7,5.27940438344908
"Africa",2022.7,3,2023.7,4.14685376556638
"Europe",2022.7,3,2023.7,2.93781270378904
"North America",2022.7,3,2023.7,5.27645491506713
"Asia",2022.8,3,2023.8,5.07408392414928
"Africa",2022.8,3,2023.8,3.60382549589819
"Europe",2022.8,3,2023.8,3.01859657398803
"North America",2022.8,3,2023.8,6.67279567594105
"Asia",2022.9,3,2023.9,3.52488484644446
"Africa",2022.9,3,2023.9,2.80221170254463
"Europe",2022.9,3,2023.9,3.38927052454867
"North America",2022.9,3,2023.9,4.96259134344994
"Asia",2023,3,2024,3.58425549346683
"Africa",2023,3,2024,2.77897749033688
"Europe",2023,3,2024,3.50445789832398
"North America",2023,3,2024,4.73149838525187
"Asia",2023.1,3,2024.1,3.57742270276314
"Africa",2023.1,3,2024.1,2.79598332180171
"Europe",2023.1,3,2024.1,4.24626589231571
"North America",2023.1,3,2024.1,5.33908758356533
"Asia",2023.2,3,2024.2,3.91462435693039
"Africa",2023.2,3,2024.2,1.5691925832142
"Europe",2023.2,3,2024.2,4.3942895586764
"North America",2023.2,3,2024.2,4.90617363270662
"Asia",2023.3,3,2024.3,3.35535589631938
"Africa",2023.3,3,2024.3,1
"Europe",2023.3,3,2024.3,4.66465370156636
"North America",2023.3,3,2024.3,4.29527900763586
"Asia",2023.4,3,2024.4,3.35535589631938
"Africa",2023.4,3,2024.4,1
"Europe",2023.4,3,2024.4,5.32851803907847
"North America",2023.4,3,2024.4,4.23179633360681
"Asia",2023.5,3,2024.5,3.30444462087268
"Africa",2023.5,3,2024.5,1
"Europe",2023.5,3,2024.5,6.3977328350684
"North America",2023.5,3,2024.5,4.23179633360681
"Asia",2020,4,2021,4.8253815456075
"Africa",2020,4,2021,1.75476535060332
"Europe",2020,4,2021,2.33478700776717
"North America",2020,4,2021,NA
"Asia",2020.1,4,2021.1,4.9351469091311
"Africa",2020.1,4,2021.1,2.36308337479987
"Europe",2020.1,4,2021.1,2.04217909323626
"North America",2020.1,4,2021.1,NA
"Asia",2020.2,4,2021.2,5.07998382677937
"Africa",2020.2,4,2021.2,2.3084243035018
"Europe",2020.2,4,2021.2,1.87595169374092
"North America",2020.2,4,2021.2,NA
"Asia",2020.3,4,2021.3,5.02484012674897
"Africa",2020.3,4,2021.3,1.90311411625558
"Europe",2020.3,4,2021.3,1.89145886033038
"North America",2020.3,4,2021.3,NA
"Asia",2020.4,4,2021.4,5.07998382677937
"Africa",2020.4,4,2021.4,1.64117316870686
"Europe",2020.4,4,2021.4,1.87872186474063
"North America",2020.4,4,2021.4,NA
"Asia",2020.5,4,2021.5,5.07998382677937
"Africa",2020.5,4,2021.5,1.60552633067449
"Europe",2020.5,4,2021.5,1.86635936485258
"North America",2020.5,4,2021.5,NA
"Asia",2020.6,4,2021.6,5.07998382677937
"Africa",2020.6,4,2021.6,2.09653359423059
"Europe",2020.6,4,2021.6,1.87872186474063
"North America",2020.6,4,2021.6,NA
"Asia",2020.7,4,2021.7,5.07998382677937
"Africa",2020.7,4,2021.7,2.10796368364371
"Europe",2020.7,4,2021.7,2.08781241731364
"North America",2020.7,4,2021.7,NA
"Asia",2020.8,4,2021.8,5.60797495609227
"Africa",2020.8,4,2021.8,2.02968059320947
"Europe",2020.8,4,2021.8,2.34291246987559
"North America",2020.8,4,2021.8,NA
"Asia",2020.9,4,2021.9,6.56254398754145
"Africa",2020.9,4,2021.9,2.03156961323313
"Europe",2020.9,4,2021.9,3.383129524884
"North America",2020.9,4,2021.9,NA
"Asia",2021,4,2022,6.9711559204337
"Africa",2021,4,2022,2.27793768261882
"Europe",2021,4,2022,3.4989644928603
"North America",2021,4,2022,1
"Asia",2021.1,4,2022.1,9.71786278704122
"Africa",2021.1,4,2022.1,2.00998075167169
"Europe",2021.1,4,2022.1,3.53075389633609
"North America",2021.1,4,2022.1,1
"Asia",2021.2,4,2022.2,7.53600313233273
"Africa",2021.2,4,2022.2,1.73906743731415
"Europe",2021.2,4,2022.2,3.30800520247721
"North America",2021.2,4,2022.2,2.755319475761
"Asia",2021.3,4,2022.3,6.925445894454
"Africa",2021.3,4,2022.3,1.9836806292124
"Europe",2021.3,4,2022.3,3.07758705543596
"North America",2021.3,4,2022.3,4.77894913101941
"Asia",2021.4,4,2022.4,6.925445894454
"Africa",2021.4,4,2022.4,2.11640964240324
"Europe",2021.4,4,2022.4,3.17849689177184
"North America",2021.4,4,2022.4,5.58881380147659
"Asia",2021.5,4,2022.5,6.92544589445401
"Africa",2021.5,4,2022.5,2.23829221563439
"Europe",2021.5,4,2022.5,3.07154459245763
"North America",2021.5,4,2022.5,5.6070370393733
"Asia",2021.6,4,2022.6,6.92544589445401
"Africa",2021.6,4,2022.6,1.95244659869209
"Europe",2021.6,4,2022.6,3.06554318840017
"North America",2021.6,4,2022.6,5.61505246630095
"Asia",2021.7,4,2022.7,6.92544589445401
"Africa",2021.7,4,2022.7,1.89155055710899
"Europe",2021.7,4,2022.7,2.91386764230558
"North America",2021.7,4,2022.7,5.69613712634604
"Asia",2021.8,4,2022.8,6.35324004923298
"Africa",2021.8,4,2022.8,1.96965984577962
"Europe",2021.8,4,2022.8,2.83714492962135
"North America",2021.8,4,2022.8,5.98949445122553
"Asia",2021.9,4,2022.9,9.17271572902876
"Africa",2021.9,4,2022.9,1.97482790487548
"Europe",2021.9,4,2022.9,2.98520856775036
"North America",2021.9,4,2022.9,6.42456899733007
"Asia",2022,4,2023,6.18792563698385
"Africa",2022,4,2023,2.18891708815217
"Europe",2022,4,2023,2.41621066448056
"North America",2022,4,2023,6.44251725306102
"Asia",2022.1,4,2023.1,4.9975803242459
"Africa",2022.1,4,2023.1,3.28332625179094
"Europe",2022.1,4,2023.1,2.33335706530469
"North America",2022.1,4,2023.1,6.61756848902798
"Asia",2022.2,4,2023.2,4.60499380312119
"Africa",2022.2,4,2023.2,3.50430491691107
"Europe",2022.2,4,2023.2,2.592951177527
"North America",2022.2,4,2023.2,6.89587218647653
"Asia",2022.3,4,2023.3,3.95774482571862
"Africa",2022.3,4,2023.3,4.06184521129471
"Europe",2022.3,4,2023.3,2.59801765016071
"North America",2022.3,4,2023.3,7.52613395976038
"Asia",2022.4,4,2023.4,3.95774482571863
"Africa",2022.4,4,2023.4,4.08952288548172
"Europe",2022.4,4,2023.4,2.77587449233087
"North America",2022.4,4,2023.4,6.2826062597423
"Asia",2022.5,4,2023.5,3.9064428250362
"Africa",2022.5,4,2023.5,4.13240297377621
"Europe",2022.5,4,2023.5,2.78330728587551
"North America",2022.5,4,2023.5,6.03894523050721
"Asia",2022.6,4,2023.6,3.88384402893557
"Africa",2022.6,4,2023.6,4.14685376556637
"Europe",2022.6,4,2023.6,2.87153778642609
"North America",2022.6,4,2023.6,5.59422376443233
"Asia",2022.7,4,2023.7,3.80583959348331
