sci_name,class,order,family,primary_com_name
bunomys chrysocomus,mammalia,rodentia,muridae,common bunomys
phyllotis xanthopygus,mammalia,rodentia,cricetidae,yellow-rumped leaf-eared mouse
macrotarsomys bastardi,mammalia,rodentia,nesomyidae,bastard big-footed mouse
eulemur mongoz,mammalia,primates,lemuridae,mongoose lemur
neodon linzhiensis,mammalia,rodentia,cricetidae,linzhi mountain vole
dicrostonyx hudsonius,mammalia,rodentia,cricetidae,labrador collared lemming
leopoldamys ciliatus,mammalia,rodentia,muridae,sundaic mountain leopoldamys
sicista caucasica,mammalia,rodentia,dipodidae,caucasian birch mouse
nesomys rufus,mammalia,rodentia,nesomyidae,island mouse
rattus simalurensis,mammalia,rodentia,muridae,simalur archipelago rat
mastomys erythroleucus,mammalia,rodentia,muridae,reddish-white mastomys
chaetomys subspinosus,mammalia,rodentia,erethizontidae,bristle-spined rat
pseudochirulus herbertensis,mammalia,diprotodontia,pseudocheiridae,herbert river ringtail
pseudochirulus cinereus,mammalia,diprotodontia,pseudocheiridae,cinereous ringtail
dactylomys dactylinus,mammalia,rodentia,echimyidae,amazon bamboo rat
saimiri cassiquiarensis,mammalia,primates,cebidae,humboldt's squirrel monkey
sorex neomexicanus,mammalia,soricomorpha,soricidae,new mexico shrew
rattus steini,mammalia,rodentia,muridae,stein's new guinea rat
sicista armenica,mammalia,rodentia,dipodidae,armenian birch mouse
limnomys bryophilus,mammalia,rodentia,muridae,gray-bellied limnomys
dicrostonyx nelsoni,mammalia,rodentia,cricetidae,nelson's collared lemming
oxymycterus wayku,mammalia,rodentia,cricetidae,ravine hocicudo
eulemur coronatus,mammalia,primates,lemuridae,crowned lemur
phyllotis osilae,mammalia,rodentia,cricetidae,bunchgrass leaf-eared mouse
cheirogaleus shethi,mammalia,primates,cheirogaleidae,ankarana dwarf lemur
bunomys fratrorum,mammalia,rodentia,muridae,northeastern peninsula bunomys
otopteropus cartilagonodus,mammalia,chiroptera,pteropodidae,luzon fruit bat
nomascus siki,mammalia,primates,hylobatidae,southern white-cheeked crested gibbon
graphiurus platyops,mammalia,rodentia,gliridae,flat-headed african dormouse
xenomys nelsoni,mammalia,rodentia,cricetidae,magdalena rat
petromyscus shortridgei,mammalia,rodentia,nesomyidae,shortridge's pygmy rock mouse
phyllomys pattoni,mammalia,rodentia,echimyidae,rusty-sided atlantic tree-rat
ateles marginatus,mammalia,primates,atelidae,white-cheeked spider monkey
thomasomys caudivarius,mammalia,rodentia,cricetidae,white-tipped thomasomys
pelomys isseli,mammalia,rodentia,muridae,lake victoria pelomys
spalax zemni,mammalia,rodentia,spalacidae,podolsk blind mole rat
auliscomys boliviensis,mammalia,rodentia,cricetidae,bolivian pericote
necromys obscurus,mammalia,rodentia,cricetidae,dark bolo mouse
lepilemur milanoii,mammalia,primates,lepilemuridae,daraina sportive lemur
sphiggurus vestitus,mammalia,rodentia,erethizontidae,brown hairy dwarf porcupine
hylopetes bartelsi,mammalia,rodentia,sciuridae,bartel's flying squirrel
calcochloris obtusirostris,mammalia,afrosoricida,chrysochloridae,yellow golden mole
plagiodontia aedium,mammalia,rodentia,capromyidae,hispaniolan hutia
cynopterus luzoniensis,mammalia,chiroptera,pteropodidae,peters's fruit bat
grammomys buntingi,mammalia,rodentia,muridae,bunting's grammomys
eothenomys proditor,mammalia,rodentia,cricetidae,yulongxuen red-backed vole
callicebus melanochir,mammalia,primates,pitheciidae,coastal black-handed titi
otomys lacustris,mammalia,rodentia,muridae,tanzanian vlei rat
musseromys gulantang,mammalia,rodentia,muridae,banahao tree mouse
mirzamys norahae,mammalia,rodentia,muridae,mirza's eastern moss-rat
myotis oreias,mammalia,chiroptera,vespertilionidae,singapore whiskered bat
protochromys fellowsi,mammalia,rodentia,muridae,papuan protochromys
oryzomys chapmani,mammalia,rodentia,cricetidae,chapman's oryzomys
hyomys dammermani,mammalia,rodentia,muridae,western hyomys
proechimys longicaudatus,mammalia,rodentia,echimyidae,long-tailed spiny-rat
sundasciurus brookei,mammalia,rodentia,sciuridae,brooke's squirrel
funambulus layardi,mammalia,rodentia,sciuridae,layard's palm squirrel
propithecus perrieri,mammalia,primates,indriidae,perrier's sifaka
amphinectomys savamis,mammalia,rodentia,cricetidae,ucayali water rat
millardia kondana,mammalia,rodentia,muridae,large metad
eligmodontia typus,mammalia,rodentia,cricetidae,eastern patagonian laucha
pseudomys gracilicaudatus,mammalia,rodentia,muridae,eastern chestnut pseudomys
rhyneptesicus nasutus,mammalia,chiroptera,vespertilionidae,persian serotine
epomophorus intermedius,mammalia,chiroptera,pteropodidae,hayman's epauletted fruit bat
mesocricetus brandti,mammalia,rodentia,cricetidae,brandt's hamster
thalpomys lasiotis,mammalia,rodentia,cricetidae,hairy-eared akodont
aethomys silindensis,mammalia,rodentia,muridae,seilinda aethomys
cynopterus sphinx,mammalia,chiroptera,pteropodidae,greater short-nosed fruit bat
apodemus ponticus,mammalia,rodentia,muridae,caucasus field mouse
plecturocebus donacophilus,mammalia,primates,pitheciidae,white-eared titi
rhipidomys ochrogaster,mammalia,rodentia,cricetidae,buff-bellied rhipidomys
murina florium,mammalia,chiroptera,vespertilionidae,flores tube-nosed bat
sorex satunini,mammalia,soricomorpha,soricidae,caucasian shrew
peromyscus pectoralis,mammalia,rodentia,cricetidae,white-ankled deermouse
ichthyomys hydrobates,mammalia,rodentia,cricetidae,crab-eating rat
melomys leucogaster,mammalia,rodentia,muridae,white-bellied melomys
abrothrix andinus,mammalia,rodentia,cricetidae,andean akodont
saimiri collinsi,mammalia,primates,cebidae,collins' squirrel monkey
nycticebus kayan,mammalia,primates,lorisidae,kayan river slow loris
heliosciurus ruwenzorii,mammalia,rodentia,sciuridae,ruwenzori sun squirrel
alouatta discolor,mammalia,primates,atelidae,spix's howler
saccolaimus flaviventris,mammalia,chiroptera,emballonuridae,white-bellied sheath-tailed bat
spalax leucodon,mammalia,rodentia,spalacidae,lesser blind mole rat
leopoldamys neilli,mammalia,rodentia,muridae,neill's leopoldamys
oligoryzomys delticola,mammalia,rodentia,cricetidae,delta pygmy rice rat
sorex ugyunak,mammalia,soricomorpha,soricidae,barren ground shrew
taeromys hamatus,mammalia,rodentia,muridae,central mountain taeromys
paramelomys gressitti,mammalia,rodentia,muridae,gressitt's paramelomys
ochrotomys nuttalli,mammalia,rodentia,cricetidae,golden mouse
sorex orizabae,mammalia,soricomorpha,soricidae,orizaba long-tailed shrew
cerradomys langguthi,mammalia,rodentia,cricetidae,cerradomys langguthi
brassomys albidens,mammalia,rodentia,muridae,white-toothed mouse
peromyscus madrensis,mammalia,rodentia,cricetidae,tres marias island mouse
crunomys celebensis,mammalia,rodentia,muridae,sulawesi shrew mouse
pteropus aruensis,mammalia,chiroptera,pteropodidae,aru flying fox
pteropus niger,mammalia,chiroptera,pteropodidae,greater mascarene flying fox
petaurista philippensis,mammalia,rodentia,sciuridae,indian giant flying squirrel
promops centralis,mammalia,chiroptera,molossidae,big crested mastiff bat
pithecia monachus,mammalia,primates,pitheciidae,geoffroy's monk saki
hystrix indica,mammalia,rodentia,hystricidae,indian crested porcupine
microcebus mittermeieri,mammalia,primates,cheirogaleidae,mittermeier's mouse lemur
cheirogaleus grovesi,mammalia,primates,cheirogaleidae,andringitra dwarf lemur
niviventer cremoriventer,mammalia,rodentia,muridae,dark-tailed rat
notomys fuscus,mammalia,rodentia,muridae,dusky hopping mouse
pearsonomys annectens,mammalia,rodentia,cricetidae,pearson's long-clawed akodont
microcebus berthae,mammalia,primates,cheirogaleidae,berthe's mouse lemur
bathyergus suillus,mammalia,rodentia,bathyergidae,cape dune mole-rat
cebus albifrons,mammalia,primates,cebidae,humboldt's white-fronted capuchin
mormopterus minutus,mammalia,chiroptera,molossidae,least little mastiff bat
macropus agilis,mammalia,diprotodontia,macropodidae,agile wallaby
trinomys myosuros,mammalia,rodentia,echimyidae,mouse-tailed atlantic spiny-rat
pteronotus portoricensis,mammalia,chiroptera,mormoopidae,puerto rican common mustached bat
rousettus linduensis,mammalia,chiroptera,pteropodidae,linduan rousette
chrotomys mindorensis,mammalia,rodentia,muridae,lowland chrotomys
peromyscus simulus,mammalia,rodentia,cricetidae,nayarit mouse
heteromys oresterus,mammalia,rodentia,heteromyidae,mountain spiny pocket mouse
margaretamys christinae,mammalia,rodentia,muridae,christine’s margareta rat
neofiber alleni,mammalia,rodentia,cricetidae,round-tailed muskrat
melomys talaudium,mammalia,rodentia,muridae,long-tailed talaud melomys
srilankamys ohiensis,mammalia,rodentia,muridae,ohiya rat
oecomys cleberi,mammalia,rodentia,cricetidae,cleber's arboreal rice rat
eliurus ellermani,mammalia,rodentia,nesomyidae,ellerman's tufted-tailed rat
cebus aequatorialis,mammalia,primates,cebidae,ecuadorian white-fronted capuchin
echimys semivillosus,mammalia,rodentia,echimyidae,speckled spiny tree-rat
murina hilgendorfi,mammalia,chiroptera,vespertilionidae,hilgendorf's tube-nosed bat
noctilio leporinus,mammalia,chiroptera,noctilionidae,greater bulldog bat
myodes shanseius,mammalia,rodentia,cricetidae,shansei vole
maxomys rajah,mammalia,rodentia,muridae,rajah rat
megalomys luciae,mammalia,rodentia,cricetidae,santa lucia giant rice rat
salpingotulus michaelis,mammalia,rodentia,dipodidae,baluchistan pygmy jerboa
rattus losea,mammalia,rodentia,muridae,losea rat
bullimus gamay,mammalia,rodentia,muridae,camiguin bullimus
cryptomys darlingi,mammalia,rodentia,bathyergidae,darling's mole-rat
tachyoryctes spalacinus,mammalia,rodentia,spalacidae,embi african mole rat
plecturocebus cupreus,mammalia,primates,pitheciidae,coppery titi
archboldomys luzonensis,mammalia,rodentia,muridae,isarog shrew mouse
acerodon humilis,mammalia,chiroptera,pteropodidae,talaud flying fox
chaerephon bregullae,mammalia,chiroptera,molossidae,fijian free-tailed bat
thomasomys monochromos,mammalia,rodentia,cricetidae,unicolored oldfield mouse
steatomys jacksoni,mammalia,rodentia,nesomyidae,jackson's african fat mouse
chaerephon nigeriae,mammalia,chiroptera,molossidae,nigerian free-tailed bat
alouatta belzebul,mammalia,primates,atelidae,red-handed howler
kerivoula myrella,mammalia,chiroptera,vespertilionidae,bismarck woolly bat
praomys tullbergi,mammalia,rodentia,muridae,tullberg's praomys
calomys musculinus,mammalia,rodentia,cricetidae,drylands laucha
ozimops loriae,mammalia,chiroptera,molossidae,loria's free-tailed bat
carollia perspicillata,mammalia,chiroptera,phyllostomidae,seba's short-tailed bat
eulemur collaris,mammalia,primates,lemuridae,red-collared brown lemur
spermophilus taurensis,mammalia,rodentia,sciuridae,taurus ground squirrel
dolichotis patagonum,mammalia,rodentia,caviidae,patagonian mara
syntheosciurus brochus,mammalia,rodentia,sciuridae,bangs's mountain squirrel
thrichomys apereoides,mammalia,rodentia,echimyidae,common punaré
megaloglossus woermanni,mammalia,chiroptera,pteropodidae,eastern woermann's fruit bat
oryzomys nelsoni,mammalia,rodentia,cricetidae,nelson's oryzomys
microtus guatemalensis,mammalia,rodentia,cricetidae,guatemalan vole
zyzomys pedunculatus,mammalia,rodentia,muridae,central australian rock rat
rattus verecundus,mammalia,rodentia,muridae,new guinea slender rat
nephelomys meridensis,mammalia,rodentia,cricetidae,mérida oryzomys
nephelomys nimbosus,mammalia,rodentia,cricetidae,nephelomys nimbosus
taeromys microbullatus,mammalia,rodentia,muridae,small-eared taeromys
prolemur simus,mammalia,primates,lemuridae,greater bamboo lemur
oryzomys rostratus,mammalia,rodentia,cricetidae,long-nosed oryzomys
hapalomys longicaudatus,mammalia,rodentia,muridae,greater marmoset rat
styloctenium wallacei,mammalia,chiroptera,pteropodidae,stripe-faced fruit bat
boromys offella,mammalia,rodentia,echimyidae,oriente cave rat
galea musteloides,mammalia,rodentia,caviidae,common yellow-toothed cavy
xerospermophilus spilosoma,mammalia,rodentia,sciuridae,spotted ground squirrel
juliomys rimofrons,mammalia,rodentia,cricetidae,cleft-headed juliomys
lepilemur grewcocki,mammalia,primates,lepilemuridae,anjiamangirana sportive lemur
calomys boliviae,mammalia,rodentia,cricetidae,bolivian laucha
taterillus arenarius,mammalia,rodentia,muridae,robbins's tateril
praomys jacksoni,mammalia,rodentia,muridae,jackson's praomys
murina liboensis,mammalia,chiroptera,vespertilionidae,libo tube-nosed bat
kerivoula hardwickii,mammalia,chiroptera,vespertilionidae,common woolly bat
alouatta sara,mammalia,primates,atelidae,bolivian red howler
eumops bonariensis,mammalia,chiroptera,molossidae,common dwarf bonneted bat
makalata didelphoides,mammalia,rodentia,echimyidae,red-nosed armored tree-rat
leimacomys buettneri,mammalia,rodentia,muridae,büttner's african forest mouse
thomasomys rhoadsi,mammalia,rodentia,cricetidae,rhoads's oldfield mouse
abditomys latidens,mammalia,rodentia,muridae,luzon broad-toothed rat
chaerephon solomonis,mammalia,chiroptera,molossidae,solomons free-tailed bat
bandicota bengalensis,mammalia,rodentia,muridae,lesser bandicoot rat
plecturocebus toppini,mammalia,primates,pitheciidae,toppin's titi
saccostomus campestris,mammalia,rodentia,nesomyidae,pouched mouse
lepilemur septentrionalis,mammalia,primates,lepilemuridae,northern sportive lemur
dasymys rwandae,mammalia,rodentia,muridae,rwandan dasymys
rattus mollicomulus,mammalia,rodentia,muridae,lampobatang sulawesi rat
neacomys guianae,mammalia,rodentia,cricetidae,guiana bristly mouse
maxomys inflatus,mammalia,rodentia,muridae,broad-nosed sumatran maxomys
myodes glareolus,mammalia,rodentia,cricetidae,bank vole
myosciurus pumilio,mammalia,rodentia,sciuridae,african pygmy squirrel
cebus kaapori,mammalia,primates,cebidae,ka'apor capuchin
voalavo gymnocaudus,mammalia,rodentia,nesomyidae,naked-tailed voalavo
malacomys cansdalei,mammalia,rodentia,muridae,cansdale's malacomys
neusticomys oyapocki,mammalia,rodentia,cricetidae,guianan ichthyomyine
solomys ponceleti,mammalia,rodentia,muridae,poncelet's solomys
melomys frigicola,mammalia,rodentia,muridae,snow mountains grassland melomys
hylomyscus pamfi,mammalia,rodentia,muridae,african wood mouse
parotomys brantsii,mammalia,rodentia,muridae,brants's whistling rat
molossus milleri,mammalia,chiroptera,molossidae,pug-nosed mastiff bat
peromyscus yucatanicus,mammalia,rodentia,cricetidae,yucatan deer mouse
chiropodomys muroides,mammalia,rodentia,muridae,gray-bellied pencil-tailed tree mouse
pteropus caniceps,mammalia,chiroptera,pteropodidae,north moluccan flying fox
pteronotus alitonus,mammalia,chiroptera,mormoopidae,amazonian common mustached bat
trinomys dimidiatus,mammalia,rodentia,echimyidae,soft-spined atlantic spiny-rat
kerivoula malpasi,mammalia,chiroptera,vespertilionidae,sri lankan woolly bat
rhipidomys emiliae,mammalia,rodentia,cricetidae,eastern amazon rhipidomys
oenomys ornatus,mammalia,rodentia,muridae,west african oenomys
nesokia bunnii,mammalia,rodentia,muridae,long-tailed nesokia
cheirogaleus crossleyi,mammalia,primates,cheirogaleidae,crossley's dwarf lemur
tadarida lobata,mammalia,chiroptera,molossidae,big-eared free-tailed bat
petaurista alborufus,mammalia,rodentia,sciuridae,red and white giant flying squirrel
pteropus poliocephalus,mammalia,chiroptera,pteropodidae,gray-headed flying fox
nanonycteris veldkampii,mammalia,chiroptera,pteropodidae,veldkamp's dwarf epauletted fruit bat
dasymys incomtus,mammalia,rodentia,muridae,common dasymys
peromyscus guardia,mammalia,rodentia,cricetidae,angel island mouse
euryoryzomys macconnelli,mammalia,rodentia,cricetidae,macconnell's oryzomys
zapus trinotatus,mammalia,rodentia,dipodidae,pacific jumping mouse
paramelomys platyops,mammalia,rodentia,muridae,common lowland paramelomys
tateomys rhinogradoides,mammalia,rodentia,muridae,tate's sulawesian shrew rat
harpiola isodon,mammalia,chiroptera,vespertilionidae,formosan tube-nosed bat
oligoryzomys longicaudatus,mammalia,rodentia,cricetidae,long-tailed colilargo
lemniscomys rosalia,mammalia,rodentia,muridae,single-striped lemniscomys
eospalax smithii,mammalia,rodentia,spalacidae,smith's zokor
sorex tenellus,mammalia,soricomorpha,soricidae,inyo shrew
proechimys canicollis,mammalia,rodentia,echimyidae,colombian spiny-rat
spermophilus citellus,mammalia,rodentia,sciuridae,european ground squirrel
funisciurus substriatus,mammalia,rodentia,sciuridae,kintampo rope squirrel
loris lydekkerianus,mammalia,primates,lorisidae,gray slender loris
nyctinomops femorosaccus,mammalia,chiroptera,molossidae,pocketed free-tailed bat
abrothrix markhami,mammalia,rodentia,cricetidae,markham's grass mouse
molossus fluminensis,mammalia,chiroptera,molossidae,southern black mastiff bat
habromys simulatus,mammalia,rodentia,cricetidae,jico deermouse
rattus adustus,mammalia,rodentia,muridae,burnished enggano rat
pseudochirops corinnae,mammalia,diprotodontia,pseudocheiridae,plush-coated ringtail
peromyscus californicus,mammalia,rodentia,cricetidae,california deermouse
murina rozendaali,mammalia,chiroptera,vespertilionidae,gilded tube-nosed bat
scolomys melanops,mammalia,rodentia,cricetidae,short-nosed scolomys
cheracebus torquatus,mammalia,primates,pitheciidae,collared titi
apodemus gurkha,mammalia,rodentia,muridae,nepalese field mouse
dobsonia inermis,mammalia,chiroptera,pteropodidae,solomons naked-backed fruit bat
dyacopterus spadiceus,mammalia,chiroptera,pteropodidae,common dyak fruit bat
trinycteris nicefori,mammalia,chiroptera,phyllostomidae,niceforo's bat
apodemus alpicola,mammalia,rodentia,muridae,alpine field mouse
tscherskia triton,mammalia,rodentia,cricetidae,greater long-tailed hamster
sorex kozlovi,mammalia,soricomorpha,soricidae,kozlov's shrew
chironax tumulus,mammalia,chiroptera,pteropodidae,sulawesi black-capped fruit bat
murina fanjingshanensis,mammalia,chiroptera,vespertilionidae,fang he tube-nosed bat
peromyscus maniculatus,mammalia,rodentia,cricetidae,deer mouse
pseudomys novaehollandiae,mammalia,rodentia,muridae,new holland pseudomys
geoxus valdivianus,mammalia,rodentia,cricetidae,long-clawed mole mouse
mesembriomys macrurus,mammalia,rodentia,muridae,golden-backed mesembriomys
pithecia cazuzai,mammalia,primates,pitheciidae,cazuza's saki
promops davisoni,mammalia,chiroptera,molossidae,davison's mastiff bat
funisciurus bayonii,mammalia,rodentia,sciuridae,lunda rope squirrel
proechimys guairae,mammalia,rodentia,echimyidae,guaira spiny-rat
sorex lyelli,mammalia,soricomorpha,soricidae,lyell shrew
lemniscomys barbarus,mammalia,rodentia,muridae,barbary lemniscomys
oryzomys alfaroi,mammalia,rodentia,cricetidae,alfaro's oryzomys
tokudaia osimensis,mammalia,rodentia,muridae,amami-oshima island spiny rat
praomys degraaffi,mammalia,rodentia,muridae,de graaff's praomys
pseudohydromys sandrae,mammalia,rodentia,muridae,white-bellied moss-mouse
microhydromys argenteus,mammalia,rodentia,muridae,southern groovetoothed moss-mouse
eothenomys chinensis,mammalia,rodentia,cricetidae,pratt's vole
peromyscus aztecus,mammalia,rodentia,cricetidae,aztec deermouse
diomys crumpi,mammalia,rodentia,muridae,crump's diomys
dyacopterus brooksi,mammalia,chiroptera,pteropodidae,brooks's dyak fruit bat
pteropus seychellensis,mammalia,chiroptera,pteropodidae,seychelles flying fox
clidomys osborni,mammalia,rodentia,heptaxodontidae,osborn's key mouse
hylopetes spadiceus,mammalia,rodentia,sciuridae,red-cheeked flying squirrel
rousettus aegyptiacus,mammalia,chiroptera,pteropodidae,egyptian rousette
coendou rothschildi,mammalia,rodentia,erethizontidae,rothchild's porcupine
funisciurus duchaillui,mammalia,rodentia,sciuridae,du chaillu's rope squirrel
glaucomys sabrinus,mammalia,rodentia,sciuridae,northern flying squirrel
nectomys rattus,mammalia,rodentia,cricetidae,amazonian nectomys
paruromys dominator,mammalia,rodentia,muridae,giant sulawesi rat
pteronotus gymnonotus,mammalia,chiroptera,mormoopidae,big naked-backed bat
callicebus personatus,mammalia,primates,pitheciidae,atlantic titi
proechimys guyannensis,mammalia,rodentia,echimyidae,guyenne spiny-rat
graphiurus microtis,mammalia,rodentia,gliridae,large savanna african dormouse
hylobates funereus,mammalia,primates,hylobatidae,east bornean gray gibbon
tadarida insignis,mammalia,chiroptera,molossidae,east asian free-tailed bat
carpomys phaeurus,mammalia,rodentia,muridae,small luzon carpomys
phyllotis darwini,mammalia,rodentia,cricetidae,darwin's leaf-eared mouse
otomys maximus,mammalia,rodentia,muridae,large vlei rat
cheirogaleus medius,mammalia,primates,cheirogaleidae,fat-tailed dwarf lemur
podomys floridanus,mammalia,rodentia,cricetidae,florida deermouse
mastomys huberti,mammalia,rodentia,muridae,hubert's mastomys
rattus tunneyi,mammalia,rodentia,muridae,australian pale field rat
neotomys ebriosus,mammalia,rodentia,cricetidae,andean swamp rat
sorex yukonicus,mammalia,soricomorpha,soricidae,alaska tiny shrew
mallomys istapantap,mammalia,rodentia,muridae,subalpine mallomys
caryomys inez,mammalia,rodentia,cricetidae,inez's red-backed vole
sapajus xanthosternos,mammalia,primates,cebidae,golden-bellied capuchin
diplomys labilis,mammalia,rodentia,echimyidae,rufous soft-furred spiny-rat
paraxerus lucifer,mammalia,rodentia,sciuridae,black and red bush squirrel
maxomys alticola,mammalia,rodentia,muridae,bornean mountain maxomys
murina chrysochaetes,mammalia,chiroptera,vespertilionidae,golden-haired tube-nosed bat
nelsonia goldmani,mammalia,rodentia,cricetidae,goldman's diminutive woodrat
rattus palmarum,mammalia,rodentia,muridae,car nicobar rat
grammomys poensis,mammalia,rodentia,muridae,western rainforest grammomys
sicista pseudonapaea,mammalia,rodentia,dipodidae,gray birch mouse
varecia variegata,mammalia,primates,lemuridae,black-and-white ruffed lemur
eliurus myoxinus,mammalia,rodentia,nesomyidae,dormouse tufted-tailed rat
microcebus ganzhorni,mammalia,primates,cheirogaleidae,ganzhorn's mouse lemur
berylmys bowersi,mammalia,rodentia,muridae,bower's berylmys
cynomops planirostris,mammalia,chiroptera,molossidae,southern dog-faced bat
tylomys mirae,mammalia,rodentia,cricetidae,mira climbing rat
dendromus messorius,mammalia,rodentia,nesomyidae,banana african climbing mouse
phyllomys brasiliensis,mammalia,rodentia,echimyidae,orange-brown atlantic tree-rat
kerivoula africana,mammalia,chiroptera,vespertilionidae,tanzanian woolly bat
thomasomys praetor,mammalia,rodentia,cricetidae,cajamarca thomasomys
taterillus pygargus,mammalia,rodentia,muridae,senegal tateril
blarinomys breviceps,mammalia,rodentia,cricetidae,blarinine akodont
neacomys minutus,mammalia,rodentia,cricetidae,minute neacomys
urocitellus elegans,mammalia,rodentia,sciuridae,wyoming ground squirrel
ammospermophilus insularis,mammalia,rodentia,sciuridae,espiritu santo island antelope squirrel
aeretes melanopterus,mammalia,rodentia,sciuridae,northern chinese flying squirrel
chrysochloris visagiei,mammalia,afrosoricida,chrysochloridae,visagie's golden mole
mysateles garridoi,mammalia,rodentia,capromyidae,garrido's hutia
grammomys minnae,mammalia,rodentia,muridae,ethiopian grammomys
otonyctomys hatti,mammalia,rodentia,cricetidae,hatt's vesper rat
lasiopodomys mandarinus,mammalia,rodentia,cricetidae,mandarin vole
myotomys sloggetti,mammalia,rodentia,muridae,rock karroo rat
hylaeamys megacephalus,mammalia,rodentia,cricetidae,azara's broad-headed oryzomys
rattus niobe,mammalia,rodentia,muridae,eastern new guinea mountain rat
xenuromys barbatus,mammalia,rodentia,muridae,rock-dwelling giant rat
hylomyscus aeta,mammalia,rodentia,muridae,beaded hylomyscus
sorex alaskanus,mammalia,soricomorpha,soricidae,glacier bay water shrew
proechimys semispinosus,mammalia,rodentia,echimyidae,tome's spiny-rat
sundasciurus moellendorffi,mammalia,rodentia,sciuridae,culion tree squirrel
notocitellus annulatus,mammalia,rodentia,sciuridae,ring-tailed ground squirrel
avahi meridionalis,mammalia,primates,indriidae,southern woolly lemur
brucepattersonius paradisus,mammalia,rodentia,cricetidae,arroyo of paradise akodont
chinchillula sahamae,mammalia,rodentia,cricetidae,achallo
sekeetamys calurus,mammalia,rodentia,muridae,bushy-tailed jird
pseudomys chapmani,mammalia,rodentia,muridae,western pebble-mound mouse
pteropus vetula,mammalia,chiroptera,pteropodidae,new caledonia flying fox
kerivoula whiteheadi,mammalia,chiroptera,vespertilionidae,whitehead's woolly bat
sorex bedfordiae,mammalia,soricomorpha,soricidae,lesser striped shrew
chaerephon bemmeleni,mammalia,chiroptera,molossidae,gland-tailed free-tailed bat
cricetulus alticola,mammalia,rodentia,cricetidae,ladak dwarf hamster
thomasomys gracilis,mammalia,rodentia,cricetidae,gracile thomasomys
hypsignathus monstrosus,mammalia,chiroptera,pteropodidae,hammer-headed fruit bat
aproteles bulmerae,mammalia,chiroptera,pteropodidae,bulmer's fruit bat
apomys datae,mammalia,rodentia,muridae,northern luzon apomys
plecturocebus vieirai,mammalia,primates,pitheciidae,vieira's titi
rhipidomys caucensis,mammalia,rodentia,cricetidae,cauca climbing mouse
tachyoryctes audax,mammalia,rodentia,spalacidae,aberdare mountains african mole rat
sphiggurus roosmalenorum,mammalia,rodentia,erethizontidae,roosmalen's dwarf porcupine
microtus longicaudus,mammalia,rodentia,cricetidae,coronation island vole
apomys gracilirostris,mammalia,rodentia,muridae,large mindoro apomys
rattus hainaldi,mammalia,rodentia,muridae,hainald's flores island rat
kunsia fronto,mammalia,rodentia,cricetidae,fossorial giant rat
melomys bougainville,mammalia,rodentia,muridae,bougainville island melomys
habromys delicatulus,mammalia,rodentia,cricetidae,delicate deermouse
eumops floridanus,mammalia,chiroptera,molossidae,florida bonneted bat
clyomys bishopi,mammalia,rodentia,echimyidae,bishop's fossorial spiny rat
cricetomys kivuensis,mammalia,rodentia,nesomyidae,kivu giant pouched rat
limnomys sibuanus,mammalia,rodentia,muridae,white-bellied limnomys
oecomys rex,mammalia,rodentia,cricetidae,king arboreal rice rat
desmalopex microleucopterus,mammalia,chiroptera,pteropodidae,mindoro pallid flying fox
ammodillus imbellis,mammalia,rodentia,muridae,ammodile
myomyscus brockmani,mammalia,rodentia,muridae,brockman's myomyscus
tonkinomys daovantieni,mammalia,rodentia,muridae,daovantien's limestone rat
otomys zinki,mammalia,rodentia,muridae,mount kilimanjaro vlei rat
peromyscus ochraventer,mammalia,rodentia,cricetidae,el carrizo deer mouse
coryphomys buehleri,mammalia,rodentia,muridae,buhler's coryphomys
pteropus pelewensis,mammalia,chiroptera,pteropodidae,palau flying fox
pteropus lombocensis,mammalia,chiroptera,pteropodidae,lombok flying fox
petinomys setosus,mammalia,rodentia,sciuridae,temminck's flying squirrel
macropus greyi,mammalia,diprotodontia,macropodidae,tooloche wallaby
myopterus whitleyi,mammalia,chiroptera,molossidae,bini free-tailed bat
saimiri vanzolinii,mammalia,primates,cebidae,black squirrel monkey
cryptomys zechi,mammalia,rodentia,bathyergidae,togo mole-rat
microcebus mamiratra,mammalia,primates,cheirogaleidae,nosy be mouse lemur
niviventer niviventer,mammalia,rodentia,muridae,himalayan niviventer
niviventer lepturus,mammalia,rodentia,muridae,montane javan niviventer
microcebus tavaratra,mammalia,primates,cheirogaleidae,northern rufous mouse lemur
georychus capensis,mammalia,rodentia,bathyergidae,cape mole-rat
cacajao calvus,mammalia,primates,pitheciidae,bald uacari
nyctinomops aurispinosus,mammalia,chiroptera,molossidae,peale's free-tailed bat
macropus irma,mammalia,diprotodontia,macropodidae,western brush wallaby
pteropus lylei,mammalia,chiroptera,pteropodidae,lyle's flying fox
crateromys australis,mammalia,rodentia,muridae,dinagat crateromys
peromyscus mexicanus,mammalia,rodentia,cricetidae,mexican deer mouse
arvicola sapidus,mammalia,rodentia,cricetidae,southwestern water vole
otomys fortior,mammalia,rodentia,muridae,charada vlei rat
aegialomys xanthaeolus,mammalia,rodentia,cricetidae,yellowish oryzomys
myomyscus verreauxii,mammalia,rodentia,muridae,verreaux's white-footed rat
stochomys longicaudatus,mammalia,rodentia,muridae,target rat
styloctenium mindorensis,mammalia,chiroptera,pteropodidae,mindoro stripe-faced fruit bat
oecomys rutilus,mammalia,rodentia,cricetidae,red arboreal rice rat
