sci_name,class,order,family,primary_com_name
paradoxurus jerdoni,mammalia,carnivora,viverridae,jerdon's palm civet
leontocebus fuscicollis,mammalia,primates,callitrichidae,brown-mantled tamarin
dasyprocta ruatanica,mammalia,rodentia,dasyproctidae,roatán island agouti
exilisciurus exilis,mammalia,rodentia,sciuridae,least pygmy squirrel
rhinolophus guineensis,mammalia,chiroptera,rhinolophidae,guinean horseshoe bat
caluromys philander,mammalia,didelphimorphia,didelphidae,bare-tailed woolly opossum
dipodomys ornatus,mammalia,rodentia,heteromyidae,plateau kangaroo rat
episoriculus caudatus,mammalia,soricomorpha,soricidae,hodgson's brown-toothed shrew
rhinolophus stheno,mammalia,chiroptera,rhinolophidae,lesser brown horseshoe bat
chlorotalpa duthieae,mammalia,afrosoricida,chrysochloridae,duthie's golden mole
prionailurus bengalensis,mammalia,carnivora,felidae,leopard cat
sus philippensis,mammalia,artiodactyla,suidae,philippine warty pig
mustela putorius,mammalia,carnivora,mustelidae,european polecat
thomomys talpoides,mammalia,rodentia,geomyidae,northern pocket gopher
amorphochilus schnablii,mammalia,chiroptera,furipteridae,smoky bat
doryrhina edwardshilli,mammalia,chiroptera,hipposideridae,hill's leaf-nosed bat
chimarrogale himalayica,mammalia,soricomorpha,soricidae,himalayan water shrew
hipposideros papua,mammalia,chiroptera,hipposideridae,biak leaf-nosed bat
hipposideros grandis,mammalia,chiroptera,hipposideridae,grand leaf-nosed bat
parantechinus apicalis,mammalia,dasyuromorphia,dasyuridae,dibbler
taxidea taxus,mammalia,carnivora,mustelidae,american badger
mogera tokudae,mammalia,soricomorpha,talpidae,sado mole
macroderma gigas,mammalia,chiroptera,megadermatidae,australian false vampire bat
idiurus macrotis,mammalia,rodentia,anomaluridae,long-eared flying squirrel
prosciurillus abstrusus,mammalia,rodentia,sciuridae,secretive dwarf squirrel
prosciurillus murinus,mammalia,rodentia,sciuridae,celebes dwarf squirrel
cardioderma cor,mammalia,chiroptera,megadermatidae,heart-nosed bat
ningaui timealeyi,mammalia,dasyuromorphia,dasyuridae,pilbara ningaui
hipposideros nequam,mammalia,chiroptera,hipposideridae,malayan leaf-nosed bat
dendrolagus dorianus,mammalia,diprotodontia,macropodidae,doria's tree-kangaroo
sus scrofa,mammalia,artiodactyla,suidae,pig
blarinella wardi,mammalia,soricomorpha,soricidae,burmese short-tailed shrew
doryrhina semoni,mammalia,chiroptera,hipposideridae,semon's roundleaf bat
thomomys mazama,mammalia,rodentia,geomyidae,western pocket gopher
mustela lutreolina,mammalia,carnivora,mustelidae,indonesian mountain weasel
sus celebensis,mammalia,artiodactyla,suidae,celebes warty pig
laonastes aenigmamus,mammalia,rodentia,diatomyidae,laotian rock rat
rhinolophus subrufus,mammalia,chiroptera,rhinolophidae,small rufous horseshoe bat
